lat,lon,name,price,area
37.5906900199854,126.997715424817,송림아마레스아파트,16750.0,75.62
37.5751372942865,127.004044861769,CS타워,46000.0,22.17
37.588559805649,126.997822939006,리치캐슬아파트,44000.0,64.68
37.5780863495289,127.021461786317,동문(비동/씨동)(494-0),54500.0,59.94
37.6068480464065,126.957963763608,포시즌,160000.0,98.26
37.6074383271574,126.970249130338,노블레스빌,57000.0,241.55
37.5761445658622,126.957925898536,무악다온채,11950.0,64.12
37.5737164709797,127.022719893302,익성씨티하임,102000.0,15.76
37.6085203551485,126.974203406118,크래스빌,83200.0,175.81
37.5727752598236,126.973257166628,세종로대우,120000.0,66.96
37.5874603273576,126.997995407846,렉스빌,102500.0,135.79
37.5779927812929,127.014696141319,창신이수,16900.0,120.84
37.5732400524296,127.022100203456,에비뉴청계Ⅰ,59000.0,16.01
37.6090364727392,126.956263487952,마운틴뷰,143000.0,74.82
37.5757916307873,126.9699712435,신동아블루아광화문의꿈,44300.0,108.95
37.5781958159533,127.01000066213,MID그린(1동),58500.0,59.55
37.5922473334639,126.964034487443,프라임캐슬(케이빌라트),96000.0,88.89
37.5753171996632,127.004674395734,힐스테이트창경궁,16000.0,76.83
37.5905162048674,126.99709211858,방산아파트,35500.0,57.1
37.5750964069721,126.981224701828,로얄팰리스스위트,109000.0,39.57
37.6096871387295,126.975919729895,엘리시아,27000.0,206.22
37.5727229945432,126.962614055939,대성아파트,82000.0,30.28
37.5713383634284,126.973705262923,롯데미도파광화문빌딩,10550.0,93.36
37.5734457874911,127.02237715289,종로동광모닝스카이,126000.0,15.855
37.5738517068991,127.016177810477,롯데캐슬천지인,79500.0,111.73
37.5713508933218,126.972934723706,신문로맨션,61000.0,81.28
37.5881837465918,127.001066673,혜화훼미리,43000.0,61.38
37.5779534469666,127.010018969316,MID그린(3동),158000.0,58.91
37.6082143705206,126.973755821661,벽산블루밍평창힐스,70000.0,150.83
37.6070004694426,126.967600127567,밀레니엄,20000.0,83.7
37.6047043115562,126.963630877352,갑을아파트,62500.0,32.54
37.5721312045136,127.020567845963,숭인상가,194000.0,78.75
37.5726207759088,126.972245219787,경희궁의아침4단지,44700.0,124.17
37.5754051278289,127.009368613074,유성,11500.0,59.85
37.5724071549574,127.016729343206,삼전솔하임2차,59500.0,16.67
37.5946343238529,126.964011031835,부암스카이뷰,170000.0,81.08
37.5741702549538,126.97054356305,경희궁파크팰리스,255000.0,103.77
37.573660668544,126.972093823848,경희궁의아침3단지,13000.0,174.55
37.571352181503,127.016717108303,삼전솔하임4차,37800.0,15.09
37.5765134678199,127.0200141192,도시그린빌라,22000.0,58.79
37.5810048174876,126.97082876877,효자,232000.0,61.49
37.6099791717614,126.977399664316,롯데캐슬로잔,50000.0,219.775
37.5607801747959,127.000688822151,충무,210000.0,54.18
37.5538334378845,126.975790250995,남산트라팰리스,26500.0,148.47
37.5698929310606,127.020688349332,청계리버팰리스B,140000.0,25.5
37.559494681597,127.007258086888,장충레지던스,71000.0,156.08
37.561044379755,127.015749929916,청구드림,35500.0,84.94
37.5518503910487,127.006512700611,명경,72000.0,59.22
37.5601165654821,127.011578357047,란스미어,12000.0,83.87
37.559256579134,127.001671768784,장충,390000.0,31.24
37.5491436025733,127.004825079267,남산FORESTHOUSE,21900.0,177.79
37.5513921722803,127.005965157696,(432-904),14000.0,56.66
37.5510618710276,127.005870976655,인성아트빌,71000.0,59.6
37.5550177138767,126.967221788694,서울역디오빌,23000.0,56.66
37.5677164459151,127.016349553927,동대문솔하임,28000.0,19.67
37.5557105820571,126.981848061188,별장,53000.0,38.71
37.5631527459053,126.969654984929,바비엥3,20000.0,53.63
37.5595875821395,126.967257249333,성요셉,88000.0,41.32
37.566708034837,127.022477348128,황학동코아루,30600.0,84.96
37.5568692021103,126.980331228342,이지-빌,35000.0,47.88
37.5702355727167,127.0212346135,골드캐슬Ⅲ,30000.0,32.75
37.5696874945972,127.020742512867,청계리버팰리스A,98500.0,26.35
37.562402711937,126.995939188779,진양상가,50000.0,107.9
37.5562258738598,126.98252007976,삼풍,33000.0,66.16
37.5633219772152,126.999468255601,이지마루충무로,25000.0,28.43
37.5515272638274,127.005296009443,동산,68500.0,54.95
37.5488702757504,127.006001621664,프라임1,72000.0,82.17
37.5672856996586,126.970342303639,정동,20300.0,46.26
37.5633835164692,127.000001584595,충무로엘크루메크로시티2차,95000.0,22.75
37.5679940708271,126.99307715654,힐스테이트세운센트럴1단지,25800.0,49.4486
37.5613995125221,126.998504521455,충무로헤센스마트,21900.0,21.04
37.5509168303169,127.00545349403,신신(1차),144500.0,38.93
37.5494498739986,127.007787174305,남산정은스카이,73000.0,143.049
37.5639596860601,127.017378274867,하이,28450.0,80.2
37.5575593766319,127.016022291395,청구103동,39700.0,41.16
37.5637577158708,126.99580566902,인현상가/신성아파트,230000.0,42.31
37.5594031619007,126.983218672682,쌍용남산플래티넘,20000.0,158.97
37.5652397406613,127.001405231149,오렌지카운티을지로,145000.0,12.43
37.5550897722338,126.965563662247,서울역한라비발디센트럴,87500.0,84.9728
37.5582562719927,126.981925536214,남산롯데캐슬아이리스,37000.0,40.9
37.5677197822002,127.021404705916,위너빌(Winnervill),102000.0,28.55
37.5606358272505,126.968341179709,브라운스톤서울,99000.0,84.878
37.5592654596607,127.016990338292,탑힐,93000.0,54.75
37.5680483704991,126.994184286586,힐스테이트세운센트럴2단지,157800.0,49.9902
37.5635913526827,126.97037127234,덕수궁롯데캐슬,63000.0,82.3212
37.5480424320662,127.00611980975,도현블랑빌,40500.0,84.84
