묵동 393
망우동 508-34
신내동 449-1
면목동 1543
묵동 154-18
면목동 1-41
면목동 715
신내동 838
신내동 654
상봉동 85-4
망우동 236-7
면목동 1522-1
신내동 796
종암동 34-3
동소문동7가 75-10
정릉동 815-1
정릉동 780
동선동1가 121-6
정릉동 1032
보문동4가 116
돈암동 641
정릉동 1025
정릉동 1034
정릉동 1014
장위동 316-5
하월곡동 230
종암동 131
삼선동5가 63-3
종암동 127
하월곡동 224
성북동1가 35-22
정릉동 435
정릉동 1030
성북동 348-3
돈암동 642
정릉동 1024
동선동5가 69-1
정릉동 727-7
장위동 8-2
하월곡동 88-64
삼선동2가 420
안암동1가 361
종암동 135
종암동 46-43
정릉동 239
정릉동 210
돈암동 1
수유동 50-24
수유동 269-25
번동 148-500
수유동 648
수유동 77-9
미아동 258-732
번동 148-494
수유동 268-17
미아동 103-183
번동 410
수유동 697-1
번동 133-1
번동 411
수유동 732
수유동 63
미아동 189-30
번동 657
번동 760
수유동 274-3
번동 761
수유동 279-74
우이동 117-3
수유동 223-7
도봉동 644
방학동 716-1
창동 826
창동 661-89
쌍문동 100-2
창동 629-29
창동 743-23
창동 442-33
도봉동 657
쌍문동 658
쌍문동 277-5
쌍문동 256
방학동 738
쌍문동 711
창동 824
쌍문동 727
방학동 718-7
쌍문동 128-2
창동 715-3
창동 731-54
쌍문동 311
쌍문동 460-8
쌍문동 68-1
방학동 689
쌍문동 731
창동 818
도봉동 571
방학동 716-5
창동 821
방학동 740
방학동 713-12
쌍문동 729
쌍문동 724
도봉동 570-10
창동 665-25
방학동 274
방학동 496
쌍문동 574
창동 621-69
방학동 736
방학동 717-2
쌍문동 103-69
창동 816
방학동 720-18
창동 661-55
쌍문동 13-2
창동 820
방학동 739
방학동 530
쌍문동 20-4
창동 809
창동 451
중계동 584-1
상계동 1279
월계동 926
중계동 600
상계동 1271
공릉동 752
월계동 945
공릉동 568-6
공릉동 370-4
상계동 1307
중계동 589
상계동 1295
공릉동 670-7
중계동 599
월계동 950
공릉동 744
상계동 330-29
공릉동 222
상계동 1318
상계동 1301
중계동 601
중계동 592
중계동 137-39
상계동 1055
중계동 591
중계동 587
상계동 1296
공릉동 754
공릉동 746
중계동 582
중계동 586
공릉동 742
상계동 1312
공릉동 727
공릉동 714
공릉동 745
상계동 1308
상계동 1269
중계동 363-1
하계동 255-1
하계동 284
상계동 1275
중계동 505
상계동 1265
월계동 923
상계동 1063
월계동 13
상계동 458
공릉동 492-1
월계동 941
상계동 1322
공릉동 738
상계동 1313
공릉동 586-15
중계동 583
공릉동 395-7
공릉동 351-2
월계동 942
상계동 172
상계동 1272
상계동 1320
월계동 938
상계동 666
공릉동 106
공릉동 90
공릉동 750
중계동 514
상계동 995
중계동 576
월계동 924
상계동 1256
응암동 117-54
응암동 122-13
대조동 186-12
불광동 171-59
역촌동 45-30
대조동 172-75
역촌동 43-55
역촌동 50-24
응암동 360-15
구산동 220-2
응암동 116-22
구산동 27-15
증산동 253
응암동 107-4
응암동 88-8
신사동 371
수색동 190
역촌동 32-35
진관동 10
진관동 2
갈현동 541-1
진관동 106
불광동 311-13
신사동 21-14
구산동 24-59
역촌동 32-42
구산동 24-77
대조동 6-13
구산동 226
증산동 162-21
불광동 241-23
역촌동 21-21
불광동 632
역촌동 219
대조동 6-17
증산동 179-9
응암동 738
역촌동 64-15
대조동 9-31
갈현동 526-2
구산동 355-82
갈현동 281-215
수색동 75
구산동 355-95
진관동 135
진관동 123
진관동 82
역촌동 83-26
불광동 230-3
진관동 66
증산동 254
갈현동 258-1
녹번동 83-26
신사동 39-19
진관동 155
녹번동 182
증산동 162-18
응암동 427-113
대조동 59-48
대조동 231
신사동 39-11
신사동 35-2
증산동 258
신사동 33-10
대조동 14-320
대조동 15-58
불광동 217-9
신사동 354
역촌동 47-31
진관동 15
진관동 12
대조동 185-71
대조동 6-18
진관동 19
녹번동 278-1
진관동 81
구산동 26-4
신사동 365
역촌동 39-1
대조동 9-19
대조동 197-9
역촌동 83-67
증산동 250
진관동 14
역촌동 31-6
불광동 634
갈현동 468-4
녹번동 83-51
신사동 337-5
진관동 64
응암동 402-42
응암동 365-35
불광동 71-16
진관동 11
대조동 9-20
역촌동 19-3
역촌동 58-41
대조동 6-19
신사동 155-1
응암동 240-63
역촌동 43-4
역촌동 1-30
불광동 645
불광동 486-17
응암동 771
불광동 302-13
응암동 110-1
신사동 360
대조동 179-16
진관동 92
응암동 93-8
대조동 197-1
구산동 355-98
대조동 197-3
구산동 202-8
구산동 25-41
신사동 366
갈현동 281-236
역촌동 17-17
갈현동 548
대조동 15-122
창천동 470
홍은동 265-350
남가좌동 385
홍은동 186-25
홍은동 8-230
홍은동 392-1
연희동 51-151
북가좌동 418-22
홍은동 465
연희동 703-32
홍제동 457
충정로3가 477
연희동 712-25
홍은동 395-1
대현동 145
연희동 746
남가좌동 385
북아현동 1-1836
홍은동 186-22
홍제동 57-5
북아현동 1-49
충정로3가 222
북아현동 118-9
연희동 196-1
홍은동 459
홍제동 283-36
홍은동 393-3
홍제동 322-138
연희동 742
홍은동 439-1
홍제동 82-81
홍제동 104-1
홍제동 464
충정로3가 189-8
홍은동 274-32
홍제동 104-20
북아현동 114-1
창천동 381
북가좌동 273-12
홍제동 196-26
홍제동 458
북아현동 1006
홍제동 175-3
홍제동 315-7
홍제동 322-79
홍은동 22
홍은동 산11-244
홍은동 440-3
북아현동 187-12
대현동 104-36
홍제동 157-68
홍은동 265-46
연희동 743
남가좌동 387
북가좌동 453
북아현동 1010
북가좌동 467
창천동 510-2
홍제동 104-6
홍제동 453
북가좌동 431
연희동 708-4
창천동 518
천연동 98-17
북가좌동 371-1
북아현동 998
망원동 499
합정동 376-5
공덕동 4-32
합정동 473
성산동 210-10
망원동 465-32
망원동 435-4
망원동 433-9
성산동 214-15
마포동 449
망원동 513
합정동 386-2
염리동 45-27
합정동 472
성산동 81-106
도화동 536
망원동 516
신공덕동 171
망원동 505
상암동 1630
대흥동 803
망원동 456-60
합정동 396-8
망원동 490
성산동 254-28
망원동 465-34
망원동 491
서교동 458-22
마포동 253
창전동 442
상암동 1741
공덕동 478
상암동 1643
신공덕동 173
성산동 249-21
망원동 471-3
아현동 732
성산동 254-7
망원동 492
망원동 419-3
아현동 275-2
중동 393
망원동 460-15
공덕동 467
상수동 396
상수동 363
망원동 523
망원동 512
망원동 522
상수동 394
연남동 250-2
공덕동 479
서교동 490
현석동 118
망원동 510
연남동 244-15
중동 391
합정동 469
연남동 487-77
합정동 381-16
중동 390
노고산동 107-36
대흥동 802
연남동 259-1
마포동 350
서교동 371-7
망원동 502
아현동 780
상암동 1689
상암동 1752
신공덕동 168
신수동 457
신수동 190
용강동 502
창전동 439
도화동 544
성산동 13-21
신수동 400-1
공덕동 30-10
신공덕동 172
상암동 1736
상암동 1743
아현동 371-1
아현동 692
신월동 440-10
신정동 201-1
신월동 541-1
목동 771-31
신정동 881-6
신월동 547-5
신월동 547-9
신월동 602-3
목동 729-5
신월동 18-17
신월동 217-2
신월동 981-4
