LINK_ID,ROAD_RANK,LANE_NUM,전일
1014273.0,일반국도,8.0,28061
1014274.0,특별광역시도,7.0,29692
1014275.0,특별광역시도,7.0,26355
1014276.0,특별광역시도,1.0,13702
1014277.0,특별광역시도,7.0,26577
1014278.0,특별광역시도,7.0,33764
1014282.0,특별광역시도,4.0,10227
1014283.0,특별광역시도,4.0,7664
1014289.0,일반국도,8.0,25397
1014290.0,일반국도,8.0,21486
1014293.0,특별광역시도,2.0,10205
1014295.0,일반국도,5.0,16721
1014296.0,일반국도,5.0,13660
1014298.0,특별광역시도,1.0,2604
1014299.0,특별광역시도,1.0,5632
1014300.0,특별광역시도,1.0,13411
1014301.0,특별광역시도,1.0,2543
1014302.0,특별광역시도,2.0,12702
1014303.0,특별광역시도,2.0,14848
1014370.0,특별광역시도,3.0,37474
1014371.0,특별광역시도,2.0,12482
1014372.0,특별광역시도,2.0,10059
1014373.0,특별광역시도,3.0,33302
1014374.0,특별광역시도,2.0,19644
1014383.0,특별광역시도,6.0,59936
1014384.0,특별광역시도,6.0,53096
1014386.0,특별광역시도,4.0,25485
1014387.0,특별광역시도,4.0,29837
1014390.0,특별광역시도,4.0,28464
1014391.0,특별광역시도,4.0,24791
1014395.0,특별광역시도,6.0,35551
1014396.0,특별광역시도,6.0,25964
1014422.0,특별광역시도,3.0,26903
1014453.0,특별광역시도,2.0,14778
1014454.0,특별광역시도,3.0,29022
1014455.0,특별광역시도,2.0,11862
1014456.0,특별광역시도,3.0,33801
1014457.0,특별광역시도,1.0,3583
1014458.0,특별광역시도,3.0,28942
1014459.0,특별광역시도,4.0,18660
1014460.0,특별광역시도,4.0,18661
1014461.0,특별광역시도,4.0,21511
1014468.0,특별광역시도,2.0,23110
1014469.0,특별광역시도,4.0,21488
1014470.0,특별광역시도,3.0,22986
1014471.0,특별광역시도,6.0,28226
1014472.0,특별광역시도,6.0,28418
1014475.0,특별광역시도,2.0,20937
1014476.0,특별광역시도,4.0,14405
1014477.0,특별광역시도,4.0,19316
1014484.0,특별광역시도,2.0,7456
1014485.0,특별광역시도,4.0,35297
1014486.0,특별광역시도,4.0,9874
1014487.0,특별광역시도,6.0,27505
1014488.0,특별광역시도,6.0,27453
1014489.0,특별광역시도,2.0,34099
1014491.0,특별광역시도,1.0,6897
1014492.0,특별광역시도,3.0,35611
1014500.0,특별광역시도,2.0,22009
1014501.0,특별광역시도,4.0,22902
1014503.0,특별광역시도,2.0,17292
1014505.0,특별광역시도,4.0,11585
1014506.0,특별광역시도,1.0,11374
1014507.0,특별광역시도,1.0,8657
1014511.0,특별광역시도,1.0,3323
1014513.0,특별광역시도,2.0,6660
1014514.0,특별광역시도,1.0,4149
1014516.0,특별광역시도,2.0,24329
1014518.0,특별광역시도,2.0,19423
1014519.0,일반국도,5.0,13116
1014520.0,일반국도,5.0,14853
1014574.0,일반국도,4.0,24699
1014793.0,일반국도,3.0,39594
1014920.0,일반국도,3.0,25750
1015091.0,특별광역시도,4.0,14691
1015100.0,일반국도,3.0,33753
1016585.0,일반국도,4.0,22534
1016586.0,일반국도,4.0,23707
1016587.0,일반국도,2.0,47008
1016588.0,일반국도,2.0,44027
1016591.0,특별광역시도,4.0,13284
1016592.0,특별광역시도,4.0,14413
1016593.0,특별광역시도,4.0,15515
1016594.0,특별광역시도,4.0,16721
1016595.0,특별광역시도,4.0,13558
1016596.0,특별광역시도,4.0,11651
1016597.0,특별광역시도,6.0,15814
1016598.0,특별광역시도,6.0,18185
1016603.0,특별광역시도,4.0,12898
1016604.0,특별광역시도,6.0,15683
1016605.0,특별광역시도,6.0,18601
1016606.0,특별광역시도,6.0,25290
1016607.0,특별광역시도,6.0,19938
1016608.0,특별광역시도,6.0,20057
1016609.0,특별광역시도,6.0,22985
1016610.0,특별광역시도,3.0,24190
1016611.0,특별광역시도,6.0,25903
1016612.0,특별광역시도,6.0,22134
1016613.0,특별광역시도,6.0,19372
1016614.0,특별광역시도,6.0,20175
1016615.0,특별광역시도,6.0,20300
1016616.0,특별광역시도,6.0,20300
1016617.0,특별광역시도,6.0,23172
1016618.0,특별광역시도,6.0,22511
1016619.0,특별광역시도,4.0,31400
1016620.0,특별광역시도,3.0,23456
1016621.0,특별광역시도,1.0,2602
1016622.0,특별광역시도,4.0,35188
1016623.0,특별광역시도,1.0,8055
1016624.0,특별광역시도,2.0,4013
1016625.0,특별광역시도,2.0,10994
1016627.0,특별광역시도,5.0,32224
1016628.0,특별광역시도,5.0,36324
1016630.0,특별광역시도,4.0,13829
1016631.0,특별광역시도,4.0,13790
1016632.0,특별광역시도,5.0,36221
1016637.0,특별광역시도,5.0,31572
1016639.0,특별광역시도,6.0,21602
1016640.0,특별광역시도,1.0,5833
1016641.0,특별광역시도,4.0,31291
1016642.0,특별광역시도,1.0,4715
1016643.0,특별광역시도,4.0,32226
1016644.0,특별광역시도,4.0,29377
1016645.0,특별광역시도,5.0,34554
1016646.0,특별광역시도,6.0,34925
1016647.0,특별광역시도,4.0,37172
1016648.0,특별광역시도,4.0,24988
1016649.0,특별광역시도,4.0,33400
1016650.0,특별광역시도,4.0,25264
1016651.0,특별광역시도,1.0,11437
1016652.0,특별광역시도,1.0,11398
1016653.0,특별광역시도,5.0,35837
1016654.0,특별광역시도,5.0,25267
1016657.0,특별광역시도,1.0,8762
1016658.0,특별광역시도,6.0,25166
1016660.0,특별광역시도,5.0,23733
1016661.0,특별광역시도,5.0,27222
1016662.0,특별광역시도,5.0,23001
1016663.0,특별광역시도,5.0,29173
1016664.0,특별광역시도,5.0,30706
1016665.0,특별광역시도,5.0,23468
1016666.0,특별광역시도,1.0,2320
1016667.0,특별광역시도,2.0,5376
1016668.0,특별광역시도,2.0,11202
1016672.0,특별광역시도,3.0,12885
1016673.0,특별광역시도,3.0,4567
1016674.0,특별광역시도,1.0,7872
1016675.0,특별광역시도,4.0,13966
1016676.0,특별광역시도,4.0,15858
1016677.0,특별광역시도,5.0,21415
1016678.0,특별광역시도,5.0,17061
1016679.0,특별광역시도,4.0,17788
1016680.0,특별광역시도,4.0,17260
1016681.0,특별광역시도,4.0,17227
1016683.0,특별광역시도,2.0,3628
1016684.0,특별광역시도,4.0,32786
1016685.0,특별광역시도,4.0,27962
1016686.0,특별광역시도,8.0,27475
1016687.0,특별광역시도,8.0,28233
1016688.0,특별광역시도,4.0,34613
1016693.0,특별광역시도,3.0,25277
1016695.0,특별광역시도,1.0,8566
1016699.0,특별광역시도,5.0,31892
1016706.0,특별광역시도,1.0,9583
1016707.0,특별광역시도,5.0,34497
1016712.0,특별광역시도,4.0,14655
1016713.0,특별광역시도,4.0,11806
1016714.0,특별광역시도,6.0,35891
1016715.0,특별광역시도,6.0,27545
1016719.0,특별광역시도,6.0,22449
1016721.0,특별광역시도,4.0,44234
1016726.0,특별광역시도,4.0,38800
1016727.0,특별광역시도,6.0,17925
1016728.0,특별광역시도,6.0,17165
1016729.0,특별광역시도,6.0,18915
1016730.0,특별광역시도,5.0,20703
1016731.0,특별광역시도,5.0,18160
1016734.0,특별광역시도,3.0,24717
1016735.0,특별광역시도,6.0,14207
1016736.0,특별광역시도,6.0,18483
1016737.0,특별광역시도,4.0,13200
1016738.0,특별광역시도,4.0,10765
1016739.0,특별광역시도,3.0,29932
1016740.0,특별광역시도,4.0,45961
1016741.0,특별광역시도,5.0,69883
1016742.0,특별광역시도,4.0,35733
1016755.0,특별광역시도,2.0,3799
1016756.0,특별광역시도,2.0,5536
1016757.0,특별광역시도,2.0,12560
1016758.0,특별광역시도,4.0,26763
1016759.0,특별광역시도,4.0,21353
1016763.0,특별광역시도,4.0,12003
1016764.0,특별광역시도,4.0,13356
1016766.0,일반국도,5.0,37618
1016768.0,특별광역시도,2.0,13262
1016775.0,특별광역시도,6.0,30547
1016776.0,특별광역시도,6.0,29182
1016777.0,특별광역시도,4.0,10332
1016778.0,특별광역시도,4.0,11216
1016826.0,특별광역시도,5.0,35235
1016827.0,특별광역시도,5.0,14862
1016828.0,특별광역시도,2.0,17590
1016829.0,특별광역시도,5.0,34343
1016830.0,특별광역시도,5.0,32355
1016831.0,특별광역시도,6.0,32950
1016832.0,특별광역시도,6.0,37790
1016833.0,특별광역시도,4.0,28081
1016834.0,특별광역시도,4.0,31137
1016835.0,특별광역시도,4.0,30842
1016836.0,특별광역시도,4.0,32547
1016844.0,특별광역시도,3.0,29613
1016845.0,특별광역시도,6.0,25711
1016846.0,특별광역시도,4.0,15675
1016847.0,특별광역시도,4.0,12248
1016848.0,특별광역시도,2.0,12704
1016849.0,특별광역시도,3.0,8228
1016850.0,특별광역시도,2.0,13755
1016851.0,특별광역시도,4.0,49065
1016854.0,특별광역시도,4.0,8168
1016855.0,특별광역시도,4.0,30730
1016860.0,일반국도,2.0,52184
1016861.0,일반국도,2.0,45300
1016862.0,특별광역시도,6.0,22881
1016863.0,특별광역시도,6.0,26699
1016866.0,특별광역시도,2.0,5844
1016867.0,특별광역시도,2.0,5081
1016868.0,특별광역시도,1.0,6836
1016869.0,특별광역시도,1.0,5686
1016873.0,특별광역시도,6.0,25230
1016874.0,특별광역시도,6.0,28033
1016877.0,특별광역시도,4.0,43544
1016878.0,특별광역시도,2.0,31966
1016879.0,특별광역시도,3.0,23866
1016880.0,특별광역시도,9.0,27938
1016881.0,특별광역시도,4.0,12396
1016882.0,특별광역시도,4.0,14440
1016886.0,특별광역시도,6.0,35136
1016887.0,특별광역시도,6.0,26360
1016888.0,특별광역시도,6.0,24281
1016890.0,특별광역시도,1.0,4280
1016891.0,특별광역시도,3.0,22140
1016908.0,특별광역시도,1.0,2878
1016911.0,특별광역시도,3.0,28494
1016912.0,특별광역시도,2.0,12579
1016913.0,특별광역시도,2.0,13596
1016914.0,특별광역시도,2.0,15602
1016915.0,특별광역시도,4.0,27196
1016917.0,특별광역시도,2.0,28758
1016918.0,특별광역시도,3.0,25675
1016923.0,특별광역시도,7.0,36699
1016924.0,특별광역시도,7.0,38673
1016925.0,특별광역시도,3.0,44630
1016926.0,특별광역시도,2.0,32127
1016930.0,특별광역시도,6.0,24166
1016931.0,특별광역시도,6.0,24127
1016941.0,특별광역시도,1.0,9746
1016942.0,특별광역시도,5.0,31515
1016943.0,특별광역시도,5.0,22614
1016946.0,특별광역시도,1.0,3924
1016947.0,특별광역시도,2.0,16369
1016952.0,특별광역시도,2.0,3535
1016953.0,특별광역시도,2.0,9466
