아파트,동명,법정동,지번,거래금액,전용면적
명남아띠팰리스,,후암동,244-90,"92,500",68.61
프라임펠리스,1,문배동,24-8,"16,275",13.69
PRIMAVERAVILL,,주성동,43-21,"365,000",155.8
아인하우스,,효창동,5-42,"80,000",66.78
태성1,,한남동,644-2,"85,000",59.95
용산파크타워(24-0),102,용산동5가,24,"340,000",131.53
시티파크(2단지),201동,한강로3가,63-387,"410,000",184.51
트윈빌비동,,한남동,26-10,"250,000",135.78
시온캐슬용산,,원효로1가,28-7,"37,000",19.33
용산시티파크(1단지),101,한강로3가,63-389,"330,000",146.53
신후암,,후암동,244-86,"45,000",61.85
파르크한남,,한남동,410,"1,700,000",268.95
시티하우스,,한강로3가,65-7,"24,400",19.89
원효전자상가,,한강로3가,16-20,"78,000",55.77
삼라마이다스빌2,,문배동,40-19,"75,000",72.48
리첸시아용산A,101,원효로1가,133-3,"161,500",122.54
대우월드마크용산,101,한강로1가,64,"290,000",166.37
리버뷰,,이촌동,300-27,"150,000",138.94
리버티하우스,,한남동,258,"204,000",217.42
한강자이에클라트,,한강로3가,16-85,"170,000",103.57
철우,1,한강로3가,65-500,"138,000",68.76
용산파크뷰(46-3),1,원효로1가,46-3,"48,500",27.57
신주에지앙,,후암동,302,"50,000",89.6
용산소미글로벌리버파크,,원효로3가,277-8,"49,000",26.46
이안용산1차(103동),,문배동,11-29,"112,000",84.96
동자,비,동자동,19-8,"44,000",27.34
울트라멤버스,,효창동,5-127,"125,000",132.05
현대플래티앙Ⅰ,,동빙고동,1-67,"180,000",130.3
용산파크e-편한세상,102,한강로2가,417,"152,000",84.67
이안용산1차(102동),,문배동,7-6,"157,000",132.34
옥수이테크빌,,옥수동,558,"97,700",84.37
아크로서울포레스트,,성수동1가,685-700,"930,000",198.219
서울숲금강아미움,102,성수동2가,836,"105,500",81.02
신장미,마,성수동1가,656-421,"165,500",53.87
극동옥정,,옥수동,557,"70,000",56.04
성수동두산위브,103,성수동2가,838,"130,000",84.34
서울숲한양현대,101,성수동1가,707,"130,000",84.81
청계대주파크빌,101,홍익동,53,"85,000",84.98
YM프라젠,101,용답동,226-4,"66,300",84.95
성수우방2차아파트,,성수동2가,286,"94,800",59.82
한진타운,103,성수동1가,704,"175,000",84.21
강변청구3,102,성수동2가,745,"220,000",84.6
무학현대,102,하왕십리동,992,"80,000",84.495
덕현해밀,,용답동,252,"85,000",72.5
서울숲해오름(717-0),,성수동1가,717,"77,000",72.83
홍익한신,,홍익동,119-1,"60,000",68.03
행당브라운스톤,101,행당동,364,"101,000",59.27
갤러리아포레,101,성수동1가,685-696,"840,000",168.37
서울숲한성,,행당동,1-115,"80,000",83.64
서울숲더샵,,행당동,377,"227,000",114.4
강변동양,101,성수동1가,479-1,"290,000",84.56
히페리온리버팰리스,,송정동,67-5,"85,000",84.4845
양지쉐르빌아파트,,송정동,97,"53,500",59.02
서울숲대림,102,성수동1가,656-234,"178,000",84.015
성동리버뷰,,송정동,72-25,"47,950",58.32
한양마이라움,,사근동,315,"17,000",18.36
대우2,105,성수동1가,709,"141,000",84.97
청구강변1,,성수동2가,712,"232,500",84.87
벽산빌라트,,옥수동,191-3,"165,000",159.63
금호자이2차,103,금호동3가,700,"141,000",84.7313
금호한신,103,금호동3가,1662,"95,000",59.99
센트럴큐브,,상왕십리동,12-47,"24,000",19.42
롯데캐슬파크,105,성수동2가,835,"163,000",81.567
아차산인앤인W클래스101동,,구의동,58-26,"87,000",116.36
흥화빌라트,,광장동,188-27,"180,000",201.4
대성빌라트(552-6),,구의동,552-6,"40,000",81.69
강변현대하이엘,,구의동,547,"105,000",84.72
웰빙,,중곡동,35-10,"64,000",83.43
신원리브웰화양동주상복합,,화양동,111-88,"15,000",16.92
