아파트,동명,법정동,지번,거래금액,전용면적
청우,,신정동,881-6,"41,000",73.63
세아쎄닛빌,,신월동,547-5,"43,000",66.9
당곡,,신월동,547-9,"46,500",84.96
청정,,신월동,602-3,"29,000",73.94
동도(729-5),,목동,729-5,"44,500",64.02
수명산태승훼미리,,신월동,18-17,"54,500",84.4
나산,,신월동,217-2,"39,700",59.9
청송그린힐,,신월동,981-4,"34,500",69.26
두원빌드피아(444-7),,신월동,444-7,"40,000",84.69
한우리(101동),101,신월동,467-12,"45,000",84.39
주함헤븐103동,103,신월동,203-14,"30,000",73.88
대성유니드1차,103,신정동,1198-23,"48,250",59.87
태헌(신월프라자),,신월동,128,"24,500",56.97
예건미예뜰1동,,신월동,494-4,"40,000",70.84
동림,,신정동,1019-4,"47,900",74.01
중흥,,신월동,452-14,"34,000",80.24
정은스카이빌(1044),101,신월동,1044,"49,250",67.42
대방샤인힐,103,신월동,1017,"44,500",59.648
강산빌라트,,목동,758-1,"86,000",131.88
동도빌라트,,목동,806-25,"93,000",143.52
태형,,신월동,134-17,"64,000",111.93
스카이빌아파트,,목동,772-11,"95,000",84.51
목동성원초원,,목동,751-4,"71,000",59.9
중앙하이츠목동펠리시티,주건축물제1동,신정동,988-5,"94,500",65.92
목동효성,101,목동,539-4,"84,000",84.87
훼미리주상복합,,신월동,166-27,"35,000",100.3
청원,,신정동,911-8,"45,000",73.44
청학,,목동,938,"40,000",34.15
뉴목동,,신정동,1052-29,"68,000",84.31
동도센트리움,102,신월동,1052,"62,200",69.17
목동가든스위트,,목동,907-5,"150,000",144.16
목동금호베스트빌,102,목동,549,"114,000",125.37
코아루2단지,201,신월동,1058,"59,800",84.95
장수마을,304,신월동,1037,"53,000",59.8
대원칸타빌3,301,목동,944,"120,000",84.98
목동이-편한세상,108동,목동,950,"174,000",134.77
목동두산위브,102,목동,953,"101,500",112.209
삼백훼미리,,신정동,918-1,"46,000",78.84
힐탑이루미,,신정동,1305,"50,000",81.08
정은스카이빌(959),101,목동,959,"66,000",68.18
대영월드(B동),비,신월동,59-9,"39,300",68.33
길훈엔트런스빌,101,신월동,1043,"60,000",84.96
주함헤븐105동,105,신월동,203-18,"35,000",62.48
온누리베일리,,신월동,207-43,"35,500",53.74
보람쉬움1,101동,신월동,416-1,"49,500",58.15
수명산SKVIEW,102,신월동,1053,"84,000",84.94
목동캐슬아파트,,신정동,296-28,"64,000",91.08
진도2,201,목동,936,"184,000",108.69
신정두산위브,101,신월동,1055,"89,000",75.63
양천홈타운3차,,신월동,470-26,"29,200",41.22
신정6현대,,신정동,743-2,"82,000",84.6
롯데캐슬(1057-0),102,신월동,1057,"60,000",59.88
목동휘버스,,신정동,995-3,"77,000",83.25
코아루1단지,,신월동,197-2,"59,000",84.83
장수마을2단지동원데쟈뷰,,신월동,1049,"76,800",84.01
세종그랑시아,102,목동,722-5,"89,000",80.03
엘리온,101,목동,803-2,"63,000",72.7736
이펜하우스1단지,103,신정동,1321,"75,500",84.51
주함헤븐106동,106,신월동,203-19,"35,000",62.48
금하뜨라네,103,신월동,142-14,"38,000",84.71
보아스청와,,신월동,422-7,"39,500",70.82
주건드림빌,,신정동,1302,"59,000",79.19
현대하이페리온,101,목동,916,"289,500",138.2
현대파크빌(907-23),,목동,907-23,"150,000",114.4
근상아트프리즘,,신월동,45-2,"29,000",71.07
새롬,101,신월동,458-1,"34,700",56.54
푸른마을2,201,신정동,1281,"60,500",59.85
예지보금자리74차,,신월동,480-4,"22,000",58.9
동일하이빌2단지,203,신정동,1311,"96,000",84.955
상진,,신정동,879-6,"64,000",95.38
신목동비바힐스,신목동비바힐스,신월동,981-2,"37,832",58.9
이펜하우스2단지,219,신정동,1322,"77,000",84.51
목동대림,1011,목동,405,"151,900",84.82
부영2,,목동,908-28,"175,000",144.83
신트리3,307,신정동,1276,"92,000",84.97
신한이모르젠,,목동,960,"64,000",84.77
이펜하우스3단지,309,신정동,1316,"85,000",114.98
파인빌,,신정동,339,"70,000",63.4288
대주파크빌,103,신월동,1028,"65,000",84.89
방주기픈샘,101,신월동,1030,"46,000",63.152
블레스빌,,신정동,340,"101,000",79.43
부영3,,목동,908-34,"142,000",89.61
양천벽산블루밍2단지,201,신월동,1027,"71,000",84.77
동원,,목동,643-7,"44,500",64.53
신도브래뉴2차,102,신월동,1031,"63,000",74.23
상신,,신월동,439-25,"30,000",56.62
신성미소지움3차아파트,101,신월동,1045,"52,750",66.14
신월2차미소지움,,신월동,1040,"66,500",83.47
신월6차보람,102,신월동,125,"49,500",59.232
한신빌라트1,,목동,900-17,"135,000",119.1
신안약수,4,신월동,591-1,"71,800",84.56
신도신월1차,102,신월동,1029,"51,000",65.2
세제뉴타운,,신월동,529-2,"40,000",57.32
주상복합태진가람,,염창동,263-2,"45,000",58.86
송촌,,염창동,264-18,"78,000",84.99
등촌동성원,,등촌동,670-2,"45,600",99.29
원다벨라빌,,내발산동,672-15,"59,000",84.985
삼성다빈치(917-14),,화곡동,917-14,"12,000",14.35
양진마니아,,마곡동,1391,"40,000",80.09
현대홈타운(923-2),,화곡동,923-2,"24,000",31.69
낙원연립재건축조합아파트,,내발산동,708-14,"55,000",79.21
루나클래식2,루나클래식2,염창동,283-15,"32,500",19.36
청솔숲속마을101동,101,내발산동,673-11,"80,000",83.69
마곡엠밸리1단지,104,마곡동,734,"116,500",84.77
한양아이클래스,,화곡동,926-5,"8,800",13.79
염창2차보람,201,염창동,271-4,"67,000",59.87
세교예지안6차,,화곡동,924-15,"15,500",25.97
탑건화곡동진선미,,화곡동,786-9,"30,000",81.54
등마루,,등촌동,365-201,"48,000",68.68
심미에셈빌,,등촌동,634-13,"58,000",82.62
은하(400-60),,화곡동,400-60,"15,500",43.82
천우네오젠(693),,내발산동,693,"80,000",147.46
마곡에이치밸리움,1동,내발산동,764,"60,000",51.464
드림시드아파트1차,,화곡동,899-13,"32,600",44.53
청솔샤르망1004동,1004,내발산동,671-13,"65,500",84.53
청솔해오름,,내발산동,660-1,"64,500",84.8729
"진로,미주아파트",104,등촌동,701,"75,700",84.96
화곡3차보람,301,화곡동,1150,"55,200",84.79
신원2차(24-130),,화곡동,24-130,"19,000",64.03
벨라팰리스,,화곡동,343-71,"20,000",24.71
올림푸스,,화곡동,1101-8,"49,500",77.58
청솔숲속마을102동,,내발산동,738,"68,000",84.62
우성(343-75),,화곡동,343-75,"35,000",65.04
팔라이스타워,,화곡동,919-2,"9,200",12.6
한솔(61-116),,화곡동,61-116,"23,850",59.9
방화메이빌,,방화동,902,"52,000",51.8976
형제,에이,방화동,615-103,"70,000",76.83
등촌파밀리에더클래식201동,201,등촌동,723,"68,500",62.69
내발산우신웨스트빌,,내발산동,733,"63,000",84.38
삼도,A,화곡동,913-1,"31,500",70.84
리버펠리스4동,4,염창동,257-4,"106,500",132.13
롯데1차,1001,내발산동,728,"80,000",84.512
한숲마을대림,101,방화동,862,"58,700",59.94
보람,101,방화동,881,"68,700",84.96
리치아파트,101,화곡동,924-1,"21,200",19.81
마곡현대아파트,204,마곡동,1171,"52,500",59.92
동일스위트리버2차,201,방화동,895,"53,500",59.94
보광드림타운,,가양동,448-10,"81,500",112.83
마곡경남아너스빌,101,마곡동,1513,"75,000",59.91
희훈리치파크,101,화곡동,1011-6,"74,000",84.62
마곡엠밸리10단지,1018동,마곡동,747,"130,000",84.89
강나루2현대,202,가양동,448,"90,000",84.99
태진아름,102,등촌동,676,"83,200",84.81
마곡엠밸리12단지,1201동,마곡동,746-1,"120,000",59.79
보람더하임105동,105,염창동,265-28,"89,000",103.37
우영,우영아파트,화곡동,1147,"38,200",62.47
삼성한아름,,염창동,264-27,"82,300",84.89
디아인스,102,화곡동,899-31,"27,000",23.93
마곡금호어울림,101,마곡동,717,"92,500",84.948
강서센트레빌3차,,방화동,893,"89,000",84.4
화곡보람,1001,화곡동,1149,"81,000",84.51
등촌6차보람,,등촌동,716,"59,000",61.908
우성(343-39),,화곡동,343-39,"42,000",67.02
상진지오벨리,,화곡동,1160,"43,500",68.22
오케이B,B,화곡동,102-88,"13,000",36
팔라이스아파트먼트(915-8),,화곡동,915-8,"18,000",30.14
제이월드,,화곡동,1037-27,"45,000",81.3244
마곡센트레빌,103,방화동,906,"89,500",59.607
홍익아파트,,방화동,861,"45,000",70.44
마곡승윤노블리안아파트,,마곡동,1360,"62,000",76.76
마곡일성트루엘아파트,102,마곡동,1535,"75,500",59.978
신세계4차,101,내발산동,665-6,"59,000",73.85
강서뉴타워,,화곡동,1071-19,"70,800",82.88
우장산에스케이뷰,102,화곡동,1158,"84,800",84.97
방화동진로아파트,102,방화동,804,"71,500",84.63
그랜드아이파크,102,화곡동,1095,"120,000",181.17
성재센트리움,,화곡동,918-38,"20,800",28.39
산내들,1,화곡동,894-1,"21,800",27.47
신도금잔디,,화곡동,1138,"57,000",84.92
성재,,화곡동,938-25,"28,400",62.41
등촌파밀리에더클래식101동,101,등촌동,722,"68,500",49.78
광성금강,,내발산동,715-5,"62,000",59.1712
세교예지안5차,,화곡동,914-32,"21,000",29.95
이너스내안에201동,201,염창동,245-1,"71,700",84.72
프라임하우스(916-5),,화곡동,916-5,"27,000",40.25
염창1차보람더하임,103,염창동,305,"116,000",84.98
천우네오젠9차,,화곡동,916-6,"35,500",55.93
지엠벨리,,등촌동,656-17,"29,900",27.57
개화산경남아너스빌,101,방화동,887,"89,300",125.56
극동상록수,101,염창동,280,"87,000",84.96
마곡수명산파크6단지,606,내발산동,759,"92,000",84.53
정원,,화곡동,355-42,"26,000",60.95
타워힐101동,,내발산동,661-2,"74,000",84.9095
등촌퀸즈포디엄삼익,101,등촌동,511-4,"39,000",44.8
타워빌,,화곡동,1009-8,"74,000",81.71
코오롱오투빌2,201,등촌동,712,"53,000",59.95
강서쌍용예가,104,염창동,308,"103,000",84.9025
천우네오젠5차,,내발산동,663-2,"55,000",70.54
마곡루나플라체,,등촌동,725,"27,500",22.05
성광,성광아파트,화곡동,343-37,"42,000",60.72
방신서광,102,방화동,871,"79,500",113.3376
정우아파트(570-11),,등촌동,570-11,"40,000",83.31
중앙화곡하이츠,2,화곡동,351-89,"47,000",56.88
강서그랜드아이파크주상복합,,화곡동,1095-4,"99,000",117.97
우장산롯데,102,화곡동,1148,"75,000",84.98
태흥그랑뷰,,화곡동,348-18,"30,000",84.42
마곡보타닉경남아너스빌,101,마곡동,1252,"78,000",84.9941
청솔102동,,내발산동,673-14,"68,000",126.72
마곡푸르지오,102,마곡동,1525,"119,500",114.72
마곡엠밸리6단지,609,마곡동,743,"169,000",114.98
천우네오젠6차,,내발산동,670-17,"58,500",83.83
청성(877-0),,방화동,877,"58,500",67.876
계명아파트나동,나,화곡동,343-44,"39,800",74.79
대동황토방2,,등촌동,713,"115,000",114.99
가양우성,104,가양동,14-3,"94,000",84.87
푸른숲2차(474-18),101,화곡동,474-18,"39,000",68.097
방화동2차태승훼미리,,방화동,885,"64,500",83.85
보람(640),,등촌동,640,"83,000",83.07
다담센트빌,,화곡동,343-41,"36,500",52.89
천우네오젠,,등촌동,645-14,"56,000",84.79
삼성한사랑1,102,등촌동,632-4,"82,000",84.99
강변한솔솔파크,105,염창동,300,"106,500",84.97
태진드림피아,101,염창동,296,"73,000",79.825
유니드,101,내발산동,712-2,"62,500",73.51
마곡엠밸리2단지,201,마곡동,735,"159,500",114.91
등촌제이스카이,102동,염창동,311,"49,500",39.87
한신베네스트아파트,,화곡동,915-26,"39,400",57.67
우장산태승훼미리,,내발산동,671-28,"52,500",76.87
염창3차보람,301,염창동,301,"80,500",84.98
마곡나루경남아파트,,마곡동,1577,"90,000",84.29
내츄럴아파트3차,101,내발산동,688-21,"59,900",84.4
우장산휴먼빌,101,화곡동,1156,"59,990",84.76
양용아네스,나,화곡동,472-13,"33,000",72.14
한사랑2삼성,202,등촌동,634-2,"89,000",84.96
삼현팰리채,101,염창동,250-1,"60,000",66.78
방화3차우림필유,,방화동,546-1,"70,500",84.57
화곡동성재,,화곡동,911-12,"38,000",73.32
한울밸리움,,염창동,274-18,"38,000",24.08
마곡엠벨리(14단지),1403,마곡동,750,"149,500",84.95
화곡1차보람더하임,101,화곡동,1087,"39,500",55.48
한보구암마을,102,가양동,1495,"63,300",59.85
강서크라운팰리스,,화곡동,998-5,"32,500",29.85
강서한강월드메르디앙,,가양동,1462,"91,700",84.9
마곡수명산파크1단지,,내발산동,742,"107,500",84.53
한백아파트,,화곡동,925-1,"33,500",60.42
신마곡벽산블루밍,102동,방화동,904,"65,337",59.7592
우장산한화꿈에그린,103,화곡동,1151,"90,500",120.11
삼성하나로,101,염창동,248-3,"80,000",84.78
유림노르웨이숲(919-1),,화곡동,919-1,"54,800",76.23
등촌라인(조합),,등촌동,628-15,"59,000",59.91
마곡엠밸리7단지,,마곡동,743-4,"170,000",84.91
길성그랑프리텔,101,화곡동,1157,"62,000",73.84
태창네스트힐,,화곡동,1146,"44,000",71.98
제일(코오롱),101,등촌동,642,"75,000",84.83
염창힐스테이트,101,염창동,306,"109,000",84.603
등촌동보람쉬움아파트,101,등촌동,641-4,"83,000",84.51
방화동동부센트레빌(875번지),101,방화동,875,"77,000",84.97
태승훼미리2,,내발산동,685,"72,000",84.83
강서동도센트리움,101,화곡동,1161,"8,900",14.677
치현마을동일스위트리버,,방화동,880,"62,000",59.9813
"월드메르디앙201동,202동",201,방화동,879,"70,500",83.42
위하우스아파트,,화곡동,916-2,"26,900",30.18
은진빌라,,구로동,749-35,"15,800",56.96
(780-72)삼익빌라,,구로동,780-72,"25,000",58.14
희훈타워빌,희훈타워빌,구로동,110-1,"65,000",142.59
한백고은,,오류동,6-1,"38,000",84.69
현대로얄,,구로동,701-76,"38,000",68.63
대산,,오류동,235-2,"31,000",72.57
(798-24),,구로동,798-24,"15,400",49.03
(792-54),,구로동,792-54,"18,800",32.47
(807-23),,구로동,807-23,"14,700",39.81
(780-50),,구로동,780-50,"26,000",50.34
종인아네스트,,구로동,110,"11,000",16.04
동보수목원(16-36),동보수목원아파트,항동,16-36,"33,700",76.72
한효,3,고척동,52-332,"74,700",82.48
우성에비뉴,101,구로동,1284,"53,800",84.9915
하이리빙,,고척동,333,"43,000",79.54
강남그린,1,궁동,178-13,"34,300",76.3
구로오네뜨시티,,구로동,103-6,"18,000",16.71
예원아파트,,구로동,43-2,"55,000",94.63
미래하이츠,,가리봉동,137-7,"51,000",96.94
"우성,현대아파트",101,고척동,76-55,"51,800",68.7
거성푸르뫼,103,개봉동,60-101,"37,500",59.89
하나세인스톤3차,,구로동,46-4,"14,000",19.99
유진빌라,,구로동,799-23,"20,500",54.42
(792-9),,구로동,792-9,"18,000",45.18
(745-57),,구로동,745-57,"14,800",35.46
오류동휘버스,1,오류동,31-4,"42,000",79.92
(797-5),,구로동,797-5,"13,700",33.12
(797-26),,구로동,797-26,"18,000",35.52
대림e-편한세상6,,신도림동,648,"103,000",84.816
M센트럴뷰,,구로동,487-24,"49,700",48.61
포스시티,포스시티,오류동,51-31,"8,200",14.29
유한수목원,유한수목원아파트,오류동,108-76,"40,000",74.94
진성,,고척동,215-5,"28,000",60.39
(792-6),,구로동,792-6,"15,000",28.84
다청림(104동),,궁동,182,"30,000",59.98
거성푸르뫼2,203,개봉동,60-82,"42,500",59.9
다청림(107동),107,궁동,178-5,"36,000",79.81
천왕이펜하우스6단지,602,천왕동,275,"70,000",84.97
(768-2),,구로동,768-2,"17,000",40.41
(780-58),,구로동,780-58,"23,000",33.52
천왕이펜하우스3단지,313,천왕동,278,"72,000",84.98
이좋은집,,오류동,46-1,"21,500",36.69
동도아르떼빌,,구로동,106,"50,000",83.01
예주유니츠,101,고척동,335,"45,500",78.29
케어빌(98-8),1,구로동,98-8,"43,400",77.9
우진체리쉬,,구로동,97-10,"52,000",77.65
마인드에코프라움,,구로동,98-14,"26,500",32.75
신도림LG자이,102,구로동,42,"95,400",84.952
대성,,구로동,799-1,"18,670",37.14
일신건영,101,구로동,1261,"64,000",59.97
영화참마음,101,구로동,1268,"70,000",84.63
동보수목원,101,항동,16-33,"30,000",59.82
현대홈타운스위트,,항동,233,"75,000",84.9804
효성,,가리봉동,139,"52,000",84.87
대림3,602,신도림동,691,"90,000",114.55
마젤란,102,고척동,338,"74,000",84.923
(777-3)두암호은리버빌,,구로동,777-3,"32,000",54.02
천왕이펜하우스1단지,106,천왕동,282,"72,700",59.94
아스타빌,,구로동,108-4,"49,500",78.18
덕영드림,,구로동,1282,"53,000",56.19
현대의보아파트,,구로동,642-33,"48,500",82.28
풍안주택,,구로동,799-18,"17,500",44.52
영화아이닉스,102,개봉동,488,"70,500",116.21
신성은하수,101,신도림동,640,"69,500",59.88
비즈트위트그린,,구로동,98-10,"9,500",15.11
리치안풍산,102,온수동,154,"47,500",84.94
파인마루오피스텔,,구로동,98-12,"15,800",18.9
신개봉삼환,101,개봉동,170-30,"60,000",84.99
비즈트위트블루,1,구로동,107-4,"11,000",16.04
한스타워,,구로동,46-5,"35,000",59.96
우원그린빌,,구로동,110-9,"58,500",84.206
거성,3,개봉동,270-80,"28,500",47.52
대림우성2,102,구로동,120,"38,000",43.79
(749-46),,구로동,749-46,"18,500",35.31
삼익(1단지),101,고척동,330,"44,000",59.82
해담채3,그린플러스 구로 해담채3,구로동,104-3,"11,500",13.39
더헤리츠,101동,고척동,352,"55,500",56
양우,101,고척동,328,"58,300",84.96
항동제일풍경채포레스트,,항동,246,"69,000",84.6614
구로궁전빌리지(771-42),,구로동,771-42,"23,000",59.4
천왕이펜하우스2단지,206,천왕동,279-2,"88,500",84.97
한일퍼스트빌(415-37),,구로동,415-37,"38,500",84.59
동일센타시아,,가리봉동,113-1,"53,000",35.28
미래타워,,구로동,1272,"60,000",84.97
구로현대,302,구로동,1256,"54,000",56.49
중앙하이츠(1269),101,구로동,1269,"71,000",59.73
성락,가,구로동,145-23,"42,000",57.33
고척LIG리가2차,203,고척동,340-1,"86,500",84.98
(752-17),,구로동,752-17,"16,000",33.56
성삼하이츠,,구로동,1275,"63,000",78.88
비즈트위트레드,,구로동,104-8,"17,750",21.49
(770-54),,구로동,770-54,"17,000",45.6
보광,8,구로동,440,"72,000",73.89
오류동삼전솔하임,,오류동,9-231,"27,900",37.759
대림역와이즈플레이스,,구로동,98-4,"14,900",24.647
(752-19),,구로동,752-19,"22,500",59.76
대림역대성스카이렉스,101,구로동,107-1,"65,000",73.2
구로에스케이뷰,에이,구로동,567-4,"60,000",84.945
상우,102,개봉동,473,"49,000",59.4
오류동푸르지오,103,오류동,346,"65,500",84.936
현대홈타운아파트,102,신도림동,641,"77,000",59.73
새솔금호,,구로동,108-2,"64,000",84.89
순영웰라이빌2차,,구로동,97-2,"49,000",65.54
신도림팰러티움,,신도림동,412-3,"90,000",84.51
동도센트리움(70-12),,개봉동,70-12,"57,000",119.94
비즈트위트오렌지,비즈트위트 오렌지,구로동,44-8,"8,000",15.6
(803-13)구로아트빌라8,,구로동,803-13,"20,000",59.44
금강(343),112,오류동,343,"71,000",60.054
오류동역솔리스타,,오류동,75-2,"17,000",38.23
경남2,203,고척동,306,"46,000",59.96
서초파레스,,독산동,1141,"50,000",79.7
장미아파트A동,A,독산동,889-26,"38,500",67.21
리버스타운,,독산동,1006-139,"37,000",54.4
이랜드해가든,101,독산동,1143,"59,000",84.927
한아프라임102동,102,독산동,147-1,"53,500",84.95
태영아파트,,독산동,1003-21,"39,000",59.86
호정타워,,독산동,1069,"35,000",67.08
시흥목련,102,시흥동,1009,"51,350",58.4
드림캐슬2차,,가산동,235-13,"45,000",84.6
산호시티빌,,시흥동,999-1,"30,000",41.58
세심아파트,,독산동,181-139,"43,300",84.53
가산지웰에스테이트,1,가산동,140-9,"9,000",15.95
독산현대,102,독산동,293-10,"49,000",58.72
동심,,독산동,184-4,"34,000",48.1749
청광플러스원,101,독산동,1139,"67,850",84.962
대덕트윈빌,101,독산동,1028,"52,000",59.56
보르미아파트(948-9),1,시흥동,948-9,"39,000",64.54
비즈트위트바이올렛5차,1,가산동,140-36,"10,000",12.19
설악솔내음,,독산동,1138,"34,000",51.59
SM엘루이,SM 엘루이 아파트,시흥동,791-40,"60,000",84.98
백운한비치5,,시흥동,962-8,"28,500",39.27
시흥(817-29),C,시흥동,817-29,"27,000",44.13
세진(1037-31),,독산동,1037-31,"38,000",60.87
정심아파트,,독산동,182-1,"37,000",70.84
더유엘아파트,,시흥동,1033,"41,700",59.8926
유승셀르빌,,시흥동,3-3,"30,000",83.3
계룡아파트,101,독산동,332-14,"53,000",59.34
진도3차아파트,301,독산동,1136,"47,500",59.34
상진지오벨리A,A,독산동,1017-8,"39,000",66.5
한빛무궁화101동,한빛 무궁화 아파트 101,시흥동,1016,"42,000",74.252
독산오르페움타워,독산 오르페움타워,독산동,989,"32,700",37.806
시흥베르빌,,시흥동,1015,"70,000",81.16
독산동한양수자인,102,독산동,1144,"71,500",68.307
G밸리페트라힐스,,가산동,139-15,"16,000",13.76
현대(209),,시흥동,209,"48,400",82.53
와이즈플레이스,,시흥동,882-61,"9,300",14.22
G밸리소홈,,대림동,1101-7,"14,300",16.1
라르파크,102,영등포동,651,"45,000",30.2372
훼미리하우스138,,당산동,121-108,"12,400",14.28
동도하이츠,,영등포동,585-25,"57,000",91.46
여의도더리브스타일,102동,영등포동1가,94-2,"45,400",30.2696
여의,,신길동,1-8,"65,000",67.2
영등포그랑그루,영등포 대성 그랑그루,영등포동4가,103,"11,000",12.1
순영웰라이빌,,영등포동,648,"69,000",84.88
포레나 신길,102,신길동,4937,"105,000",84.5802
대방전철,씨,신길동,1343,"67,800",44.35
신대림자이1단지,101,대림동,1121,"79,000",84.14
대교,,여의도동,41,"182,500",95.5
삼천리,102,양평동3가,24,"80,500",59.95
훼미리하우스117,,영등포동7가,94-51,"12,500",16.98
대방,,신길동,4312,"22,300",37.96
포레스트힐시티,포레스트힐시티,영등포동3가,19-2,"10,000",13.53
여의도리버뷰,1,신길동,4942,"10,800",12.96
한신휴2차,201,대림동,897-1,"55,200",59.89
유원제일,,당산동4가,91,"102,000",73.98
리츠뷰,,양평동6가,95-4,"70,700",58.08
당산롯데캐슬프레스티지,101,당산동4가,99,"148,500",84.98
THESILK,1,당산동,121-132,"13,500",20.51
삼두,,신길동,2-3,"49,000",43.65
동훈노보빌,,신길동,499,"73,000",84.81
브라운스톤영등포,,영등포동7가,202,"90,000",84.9
한신휴1차,101,대림동,887-1,"58,100",59.89
리첸시아,B,여의도동,61,"400,000",195.88
당산반도유보라팰리스,,당산동4가,96,"174,000",157.87
당산금호어울림,106,당산동4가,95,"125,000",116.98
도림청구,101,도림동,221-1,"75,000",84.96
반도유보라,101,당산동5가,41,"61,000",84.58
화랑,2,여의도동,40-4,"223,000",95.8
근상프리즘,,영등포동7가,29-130,"61,000",82.79
대우트럼프월드II,A,여의도동,48,"200,000",123.78
신기목련아파트,101,신길동,4935,"57,000",59.4
어반힐,,양평동1가,147,"31,300",25.58
신미,가,신길동,340-1,"91,000",75.48
신길레전드힐스,레전드힐스,신길동,261-22,"9,900",13.74
여의휴젠느,,영등포동7가,94-99,"47,000",35.42
롯데캐슬엠파이어,101,여의도동,36,"195,000",120.41
대우트럼프월드Ⅰ,A,여의도동,55-1,"239,000",152.62
문래금호어울림,101,문래동3가,97,"109,000",84.97
쌍용플래티넘S,1,대림동,717,"10,000",18.24
스테이72여의도,메트로가든,영등포동1가,75-4,"14,000",12.4
여의도자이,301,여의도동,47,"290,000",148.94
선원가와인,,신길동,4943,"78,500",80.376
약산,,양평동4가,160-2,"18,700",37.24
남서울,11,신길동,3002,"85,000",42.98
여의도씨티아이,,영등포동1가,113-1,"12,500",12.59
국화맨션,,문래동3가,76-1,"124,500",84.71
성원(650),101,대림동,650,"63,000",59.63
당산계룡리슈빌1단지,102,당산동3가,564,"34,200",16.536
(1101-1),1,대림동,1101-1,"10,500",14.46
보라매두산위브,,신길동,4497,"91,500",84.95
신길AK푸르지오,,신길동,255-9,"77,994",49.4552
수정,,여의도동,32,"280,000",150.65
신대림신동아파밀리에,104,대림동,1124,"65,500",59.9754
문래대림,,문래동5가,1,"51,000",84.92
삼부,3,여의도동,30-2,"250,000",92.13
여의도리미티오148,,영등포동2가,139,"31,500",24.3859
문래우정,,문래동3가,78,"79,000",59.76
삼익플라주,101,당산동4가,97,"85,000",71.14
유원제일2차,205,당산동5가,7-2,"170,000",123.76
동보,101,양평동5가,9-1,"89,500",84.48
서울,1,여의도동,21-1,"516,000",139.31
우창,2,신길동,4501,"79,500",55.9
현대프라자,,영등포동5가,49-1,"54,000",59.96
숭실골드,,상도동,473,"54,400",76.23
오크밸리,,상도동,1-7,"48,500",78.42
중앙궁전빌라트,,흑석동,191-8,"70,000",121.68
현대201동,,상도동,410,"59,900",59.91
다온아파트,1,상도동,256-28,"45,000",48.88
은성,,노량진동,228-7,"108,000",61.81
사당휴브리지(206-127),,사당동,206-127,"14,500",12.42
(99-1),,대방동,99-1,"39,000",63.925
보라매우성,,신대방동,706,"62,000",58.86
동문아트빌,,사당동,235-76,"62,500",99.66
상도팰리스,101,상도동,460,"78,000",84.86
대영테크빌,,상도1동,328-18,"54,000",84.64
대창센시티,,사당동,1147,"95,000",102.6453
신한토탈,,대방동,41,"70,000",59.4
공감지음포레뷰아파트,,사당동,235-62,"73,500",72.27
강남(488),,상도동,488,"14,000",47.14
이수자이,102,사당동,147-29,"160,000",120.81
삼환나우빌(520-0),102,상도동,520,"120,000",121.346
청호,102,흑석동,327,"74,500",59.85
갑을명가,101,사당동,1151,"73,700",81.6491
해맑은,,사당동,449-10,"50,000",82.89
극동강변,,본동,148-2,"89,500",84.73
상도2차갑을명가,201,상도동,459,"73,000",84.33
비전,,대방동,43-9,"151,000",122.52
청운아파트,,상도동,301-226,"29,000",61.7
대우유로카운티,,상도동,420,"126,000",133.67
한국개나리,101,대방동,504,"68,000",59.85
형인한강,1,노량진동,331,"78,500",76.05
르메이에르,101,사당동,1141,"67,500",59.4
보라매아카데미타워,,신대방동,395-69,"111,000",115.54
정호힐사이드,,상도동,77-21,"52,500",81.26
상도현대,102,상도동,412,"69,000",59.72
진흥아리엘,,사당동,1142,"80,000",84.9713
동작협성휴포레시그니처,101동,신대방동,686-48,"106,000",84.9464
대방2차e-편한세상,201,대방동,507,"157,000",131.637
펭귄,1,신대방동,364-55,"51,500",63.04
신호리치빌,,대방동,383-17,"75,000",84.69
사당롯데캐슬2차,204,사당동,1149,"114,000",84.766
삼익그린뷰,102,사당동,1150,"65,000",59.1605
우정,101,대방동,505,"76,000",59.89
오림센트빌,,사당동,1048-8,"51,000",85.63
신대방,101,신대방동,705,"56,000",59.6
삼성그린101동,,사당동,180-26,"42,000",69.6
신대방경남,101,신대방동,712,"115,000",124.22
한강쌍용,102,본동,150,"99,000",59.64
경남아너스빌2차,201,사당동,1135,"80,500",84.96
상도동삼호아파트,103,상도동,408,"84,500",84.52
롯데관악타워,,신대방동,395-67,"135,000",172.51
진성마블로스,1,대방동,394-2,"12,000",14.4
현대주택조합,3,사당동,산25-2,"89,500",84.99
사당자이,,사당동,1139,"87,500",60
상도휴엔하임,,상도동,363-164,"19,700",16.84
보람(685-100),,봉천동,685-100,"32,000",68.58
관악,2,신림동,244,"48,000",56.39
웰피아,,신림동,1731,"55,000",81.94
늘푸른3차,늘푸른아파트3차,봉천동,1690-168,"60,000",82.87
로얄클래스,,봉천동,1593-14,"72,700",110.33
관악교수,,봉천동,1617-44,"75,000",120.64
금강아미움(105동),105,봉천동,1522-32,"80,000",71.3453
윤정,,신림동,546-7,"45,000",75.45
삼성아트빌(715-32),1,신림동,715-32,"30,500",57.37
동마,,신림동,1699,"42,750",59.99
하이캐슬,1,봉천동,1718-6,"58,500",85
프라비다M,프라비다M,봉천동,893-1,"31,300",30.12
