LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,전일,7-9시,18-20시
1017376,일반국도,성산로,서울특별시,마포구,0.203,4,51951,8278,7064
1017377,일반국도,농수산시장로,서울특별시,마포구,0.096,3,20734,3586,3857
1017378,일반국도,농수산시장로,서울특별시,마포구,0.096,3,17767,3658,3693
1017400,일반국도,성산로,서울특별시,서대문구,1.023,4,33765,6304,5783
1017401,일반국도,성산로,서울특별시,서대문구,1.023,4,33033,5339,6136
1017402,일반국도,성산로,서울특별시,서대문구,0.176,4,38209,6135,7471
1017410,일반국도,신촌로,서울특별시,마포구,0.498,4,31203,5905,5227
1017417,일반국도,성산로,서울특별시,서대문구,0.36,6,34480,4522,7107
1017418,일반국도,성산로,서울특별시,서대문구,0.36,6,33748,5471,6620
1017420,일반국도,성산로,서울특별시,서대문구,0.417,8,37719,6688,5767
1017421,일반국도,성산로,서울특별시,서대문구,0.417,8,40822,4449,8283
1017451,일반국도,마포대로,서울특별시,마포구,0.244,5,60410,10540,10017
1017452,일반국도,마포대로,서울특별시,마포구,0.051,5,58411,9921,8971
1017454,일반국도,마포대로,서울특별시,마포구,0.174,5,47017,8733,7122
1017470,일반국도,서부간선도로,서울특별시,영등포구,0.277,2,45338,6541,5192
1017472,일반국도,서부간선도로,서울특별시,영등포구,0.287,2,50722,7572,5788
1017474,일반국도,서부간선도로,서울특별시,영등포구,0.112,2,53847,7615,5969
1017479,일반국도,서부간선도로,서울특별시,양천구,0.254,2,47460,6512,6309
1017503,일반국도,서부간선도로,서울특별시,영등포구,0.65,2,54546,6985,6480
1017539,일반국도,선유로,서울특별시,영등포구,0.116,2,27713,5602,4470
1017540,일반국도,선유로,서울특별시,영등포구,0.18,1,16820,3797,2684
1017544,일반국도,선유로,서울특별시,영등포구,0.093,1,28135,5497,4611
1017566,일반국도,여의대로,서울특별시,영등포구,0.161,5,45973,9659,7570
1017617,일반국도,경인로,서울특별시,영등포구,0.487,2,33535,6530,6293
1017636,일반국도,여의대로,서울특별시,영등포구,0.47,4,40185,8928,5748
1017637,일반국도,여의대로,서울특별시,영등포구,0.234,4,40985,9042,6452
1017728,일반국도,서부간선도로,서울특별시,구로구,0.459,2,42484,6784,4875
1017729,일반국도,서부간선도로,서울특별시,영등포구,0.402,2,45853,6988,5223
1017739,일반국도,서부간선도로,서울특별시,영등포구,0.603,2,52742,8145,6205
1017740,일반국도,서부간선도로,서울특별시,영등포구,0.443,2,52410,6876,6756
1017741,일반국도,서부간선도로,서울특별시,영등포구,0.437,2,54348,7819,7159
1017742,일반국도,서부간선도로,서울특별시,영등포구,0.409,2,49660,7504,5495
1017743,일반국도,서부간선도로,서울특별시,영등포구,0.443,2,50374,6590,6599
1017745,일반국도,서부간선도로,서울특별시,구로구,0.718,2,54491,7494,6613
1017790,일반국도,서부간선도로,서울특별시,양천구,0.434,2,45279,6536,6100
1017792,일반국도,서부간선도로,서울특별시,구로구,0.74,2,47532,6688,6335
1017816,일반국도,경인로,서울특별시,영등포구,0.344,4,36570,6667,5842
1017873,일반국도,성산로,서울특별시,서대문구,0.043,8,44131,6074,7576
1017874,일반국도,성산로,서울특별시,서대문구,0.043,8,42446,7589,7380
1017894,일반국도,증산로,서울특별시,마포구,0.06,6,32833,5878,5892
1017895,일반국도,증산로,서울특별시,마포구,0.685,6,36511,5618,6758
1017927,일반국도,성산로,서울특별시,마포구,0.12,3,20738,4150,4564
1017928,일반국도,성산로,서울특별시,마포구,0.12,3,40907,6469,6198
1017929,일반국도,성산로,서울특별시,마포구,0.096,3,47011,8476,7333
1017930,일반국도,-,서울특별시,마포구,0.081,1,17307,2626,2546
1017931,일반국도,신촌로,서울특별시,마포구,0.473,4,35864,6458,6296
1017935,일반국도,양화로,서울특별시,마포구,0.606,4,32869,5828,5529
1017950,일반국도,성산로,서울특별시,영등포구,0.161,2,17091,2467,3318
1017960,일반국도,성산로,서울특별시,서대문구,0.249,4,40946,5558,8399
1017961,일반국도,성산로,서울특별시,서대문구,0.281,8,43427,7167,7289
1017962,일반국도,성산로,서울특별시,서대문구,0.281,8,40937,5692,8295
1017963,일반국도,성산로,서울특별시,서대문구,0.272,4,41807,7035,7367
1017964,일반국도,성산로,서울특별시,서대문구,0.191,3,34929,6063,6370
1018084,일반국도,경인로,서울특별시,영등포구,0.027,5,40745,8101,6161
1018087,일반국도,신촌로,서울특별시,마포구,0.279,5,48108,9240,7898
1018089,일반국도,신촌로,서울특별시,마포구,1.181,4,30862,5813,5189
1018090,일반국도,신촌로,서울특별시,서대문구,0.05,5,28563,5853,4908
1018118,일반국도,서부간선도로,서울특별시,영등포구,0.693,2,58253,9041,6291
1018207,일반국도,양화로,서울특별시,마포구,0.142,5,42745,7245,7058
1018258,일반국도,증산로,서울특별시,은평구,0.685,6,39293,7690,6488
1018314,일반국도,증산로,서울특별시,마포구,0.06,6,31432,5361,5743
1018336,일반국도,사직로,서울특별시,종로구,0.17,6,32921,5978,5958
1018337,일반국도,사직로,서울특별시,종로구,0.289,2,18473,2816,3377
1018338,일반국도,사직로,서울특별시,종로구,0.289,2,20959,4533,3258
1018417,일반국도,성산로,서울특별시,서대문구,0.746,2,35164,6643,5941
1018418,일반국도,성산로,서울특별시,서대문구,0.76,2,35597,5426,7147
1018498,일반국도,농수산시장로,서울특별시,마포구,0.049,6,24454,4293,5258
1018499,일반국도,농수산시장로,서울특별시,마포구,0.049,6,23246,4341,5317
1018547,일반국도,마포대로,서울특별시,마포구,0.164,5,44543,7321,8379
1018560,일반국도,선유로,서울특별시,영등포구,0.233,1,18324,4130,2663
1018563,일반국도,경인로,서울특별시,영등포구,0.912,4,38478,6717,6846
1018589,일반국도,통일로,서울특별시,은평구,0.569,6,25625,4595,4352
1018590,일반국도,통일로,서울특별시,은평구,0.569,6,25451,4371,4437
1018591,일반국도,통일로,서울특별시,은평구,0.938,6,26992,5320,5078
