,apartment,lat,lng,total_traffic
80,상록타워아파트,37.5423571152711,127.100947566847,1309467
81,아크로리버,37.5360517267301,127.092835806633,1262251
82,아차산한라아파트,37.5540171153721,127.09707993751,2156318
83,전농동하우스토리,37.5771729640998,127.058555015309,2010028
84,(아이엔에스새터),37.5645003935628,127.06256266883,1946328
85,공감대(440-12),37.5627366815273,127.071621036391,1954490
86,형인허브빌101동(417-3),37.5631781774466,127.064578407255,1911797
87,정암(363-11),37.5674601536132,127.069356408515,1911797
88,정은스카이빌201동,37.5678751887241,127.070662238255,1911797
89,비젼아파트101동,37.5627075395344,127.070640266379,1954490
90,이문2차푸르지오,37.6043234599775,127.07042785142,2298009
91,우성3차(562),37.5650914448661,127.069493886305,1911797
92,신일해피트리2차(567),37.5637319115479,127.063783188555,1911797
93,장안트윈B동,37.5736383254457,127.0712427436,1950903
94,르메이에르7차(313-8),37.578143699432,127.072798547222,1931350
95,형인허브빌아파트301동,37.5649459435623,127.071141877313,1954490
96,이문동웰츠타워,37.5984785520783,127.061915413884,2036292
97,르메이에르1차(344-1),37.5712482140011,127.072202303825,1911797
98,휘경동일하이빌,37.5823446326166,127.073299760443,2256075
99,620-47(롯데캐슬L-65),37.5788571390771,127.045136566595,1865017
100,현대홈타운2차,37.5685273372694,127.07154655304,1911797
101,신부파스카(313-7),37.5777179988599,127.072767566873,1931350
102,경동미주,37.5791794440151,127.035594125987,1980102
103,장한평월드메르디앙,37.5635605140704,127.070638015754,1911797
104,은하수드림필,37.5630402322628,127.069041278972,1911797
105,신일해피트리아파트101동,37.5654164750873,127.062828861793,1946328
106,우창프라자,37.5664757976441,127.053850726268,2026204
107,방원예뜨랑,37.5805976175538,127.071963511775,2234704
108,일성트루엘,37.5652943577914,127.065377531925,1911797
109,청량리역한양수자인그라시엘,37.6174453748348,126.893514970399,750227
110,우성5차에비뉴,37.5650037519619,127.067677480322,1911797
111,서광아침의빛,37.5645197126731,127.072572382785,1954490
112,회기아파트(347-7),37.5906512208502,127.055510152601,1998194
113,신부파스카(563),37.5655179693251,127.069963449153,1911797
114,천강(332-6),37.5723114889674,127.075919195708,2444991
115,청계천대성스카이렉스2,37.5703397413816,127.029907259076,978288
116,동일스카이씨티,37.589506350743,127.053910340334,1124527
117,금강아미움,37.5717796908307,127.067673649867,2322669
118,회기힐스테이트,37.590046068613,127.053661066923,1124527
119,동대문더퍼스트데시앙,37.5748683003768,127.070597527798,1931350
120,은하수드림빌,37.5807799192093,127.071319173202,2330999
121,정은스카이빌101동,37.5769162415789,127.073867939663,2254147
122,답십리한화,37.5669329066906,127.053973867265,2045647
123,휘경제이스카이아파트,37.5890829156144,127.0576570784,1063765
124,동양2차,37.5923134152138,127.066893180891,1263829
125,경남하이빌,37.5804383848296,127.07021322729,2163732
126,리치빌,37.6112271499659,127.078776138347,2377518
127,동일스카이시티102동,37.6017337226035,127.089596953038,2261416
128,효산센터빌,37.6077860079865,127.077679848035,2354229
129,태능에셈빌,37.5992798892602,127.077484271471,1225982
130,현대휴앤미,37.6031458746534,127.084674730351,1317479
131,동성네스트빌,37.5893805389973,127.077859538043,1159804
132,포인트아파트비동,37.5894598938076,127.081757384823,2521360
133,한울네세창,37.5984170305006,127.106277064008,2379645
134,세모,37.5926984475024,127.087619999109,2371828
135,현대휴앤미(102동),37.6031130112872,127.084391352869,2402659
136,정우아파트,37.5995503424314,127.087933102562,2253037
137,SM해그린,37.6132622675986,127.080167090098,2434663
138,금강산아파트,37.5920359056725,127.074282238748,1078037
139,금호어울림(580-1),37.6010542476791,127.110187336867,1352590
