name,lat,lng
송림아마레스아파트,37.5906900199854,126.997715424817
리치캐슬아파트,37.588559805649,126.997822939006
노블레스빌,37.6074383271574,126.970249130338
무악다온채,37.5761445658622,126.957925898536
크래스빌,37.6085203551485,126.974203406118
창신이수,37.5779927812929,127.014696141319
신동아블루아광화문의꿈,37.5757916307873,126.9699712435
프라임캐슬(케이빌라트),37.5922473334639,126.964034487443
힐스테이트창경궁,37.5753171996632,127.004674395734
엘리시아,37.6096871387295,126.975919729895
롯데미도파광화문빌딩,37.5713383634284,126.973705262923
롯데캐슬천지인,37.5738517068991,127.016177810477
신문로맨션,37.5713508933218,126.972934723706
혜화훼미리,37.5881837465918,127.001066673
벽산블루밍평창힐스,37.6082143705206,126.973755821661
밀레니엄,37.6070004694426,126.967600127567
경희궁의아침4단지,37.5726207759088,126.972245219787
경희궁의아침3단지,37.573660668544,126.972093823848
롯데캐슬로잔,37.6099791717614,126.977399664316
남산트라팰리스,37.5538334378845,126.975790250995
장충레지던스,37.559494681597,127.007258086888
청구드림,37.561044379755,127.015749929916
란스미어,37.5601165654821,127.011578357047
남산FORESTHOUSE,37.5491436025733,127.004825079267
황학동코아루,37.566708034837,127.022477348128
진양상가,37.562402711937,126.995939188779
삼풍,37.5562258738598,126.98252007976
프라임1,37.5488702757504,127.006001621664
남산정은스카이,37.5494498739986,127.007787174305
하이,37.5639596860601,127.017378274867
쌍용남산플래티넘,37.5594031619007,126.983218672682
서울역한라비발디센트럴,37.5550897722338,126.965563662247
브라운스톤서울,37.5606358272505,126.968341179709
덕수궁롯데캐슬,37.5635913526827,126.97037127234
도현블랑빌,37.5480424320662,127.00611980975
뉴후암,37.5512636713244,126.975211553869
태원팰리스,37.5424968602375,126.964300661846
형우베스트빌3차,37.5345512509341,127.010750957657
이안용산프리미어,37.5386874768496,126.970318445052
베르체,37.5426325782396,126.963506256197
명남아띠팰리스,37.5492101060733,126.978868899876
아인하우스,37.5418553659449,126.963183696919
트윈빌비동,37.5342584145129,127.010872655692
용산시티파크(1단지),37.5251113403049,126.969145035914
파르크한남,37.5314451625387,127.011467348354
철우,37.5235496234232,126.969108800283
신주에지앙,37.5494338815745,126.980242085051
이안용산1차(103동),37.5378847050012,126.970395589933
이안용산1차(102동),37.5380669235673,126.969827066954
청계대주파크빌,37.5674713084173,127.031386204827
무학현대,37.5611862139671,127.027854212704
금호자이2차,37.5503795490386,127.021916573855
청계천대성스카이렉스2,37.5703397413816,127.029907259076
샤인힐,37.5967665167508,127.012991102956
코아루센타시아,37.5930327773352,127.019165692086
보문하우스토리,37.5841413862939,127.020967748216
청기와,37.5886948079196,127.01447451526
돈암동해피트리,37.597995429021,127.011645485702
트라움하임,37.5955725469059,127.017663274029
안암동삼성래미안,37.5893064316483,127.023748974341
하이펠리스,37.5597701692567,126.927524126157
홍은드림아파트,37.5824934914338,126.935525825003
베벌리힐즈,37.5822498397398,126.9274157311
충우하이빌,37.5678929769233,126.934725805214
선명(101동),37.5742456638307,126.927683638177
충림예하임,37.5626715369651,126.962774481303
파크빌,37.576016808018,126.930024691698
부림,37.5795062291669,126.929656324761
예스에이피엠,37.5576412309944,126.944922346024
조은2차,37.5634123712897,126.955579709149
서강1차(1동),37.5945551058077,126.934595292455
우민B,37.5644307079268,126.95737368342
경남(2차),37.5614799411769,126.957614405989
진흥,37.5797835131076,126.932516884721
마체스터,37.5963609026581,126.949945811498
신원지벤스타6,37.5799785377195,126.929669126032
성원쌍떼빌팰리스,37.5758239882078,126.938076065943
인왕드림빌,37.584452234246,126.94810483535
무악재한화,37.5821614180567,126.9496754552
북아현맨션,37.5610581681691,126.958841196498
센타폴리스,37.559569339903,126.928266439124
제니스뷰아파트,37.5877063487661,126.948513119801
경일,37.5830797861947,126.94253933815
세한숲속마을,37.5964191429827,126.936867993244
풍림1차,37.5946679785,126.942146456823
북아현2차,37.5644439019221,126.952743423809
우국한마음,37.5787844128989,126.934456824228
경남102동,37.5612090697764,126.957027936794
청구1차,37.5819153538654,126.95204947944
반석블레스포레,37.5682072877756,126.960110567225
kcc웰츠,37.5428410149659,126.952463879815
동양엔파트,37.5477172600406,126.940607778703
서강오벨리스크스위트,37.5465344912557,126.9317231782
대우월드마크마포,37.5424449362081,126.953369360825
삼환나띠르빌,37.5512582784547,126.954398330228
밤섬예가클래식,37.5421232373534,126.935806939587
대흥동세양,37.5444481595589,126.944868912049
벽산솔렌스힐,37.5494230649757,126.936017162939
신촌태영데시앙,37.5533866511831,126.931064388029
고려,37.5407679846928,126.94594655786
펜트라우스,37.5433912735909,126.954104279714
인왕산2차아이파크,37.5757370932777,126.959608792807
경희궁의아침2단지,37.5739639296009,126.971284886893
디팰리스,37.5686709353326,126.97200207461
광화문스페이스본(106동),37.5735474815128,126.967762692573
동대문맨션,37.5724007081113,127.011019923431
운현신화타워,37.5751033467401,126.989136577815
창신쌍용1,37.5805125839757,127.014014651795
효성쥬얼리시티,37.5714829206881,126.998666645245
광화문스페이스본(101동~105동),37.5744172415207,126.968880867164
경희궁롯데캐슬,37.5738635995353,126.959446568538
SK리더스뷰남산,37.5591275120652,126.980636557364
청계천두산위브더제니스,37.566861653483,127.017110234475
순화동더샵,37.5601777993529,126.972065464999
삼성파크빌,37.5673649858829,127.002768887715
(372-66),37.5522027973711,127.011944703815
LIG서울역리가,37.555868464626,126.967001745344
서울역센트럴자이,37.5537819672024,126.96402989384
청구e편한세상,37.5604485958729,127.016730517193
용암한신,37.5424265810629,126.987878525843
용산파크타워(24-1),37.5233187069721,126.97281622163
