LINK_ID,lat,lng,전일
1013669,37.49806381753669,126.84829667181845,28299
1013670,37.49831195588981,126.85005359725272,27351
1013671,37.49815241205332,126.84830361078438,5245
1013672,37.498153565074766,126.84828652615734,29471
1013673,37.49778731375637,126.84732732735657,28144
1013674,37.49892915268418,126.84766943800648,5109
1013675,37.49893444243715,126.84756402168853,11198
1013676,37.49864496177502,126.8477962947029,4793
1013677,37.49872949771108,126.84881674566114,10168
1013678,37.4985664344715,126.85053092682894,9585
1013679,37.49895764011948,126.84814239277762,38028
1013680,37.499918856794594,126.8473288098871,34486
1013681,37.49640780959299,126.8502743399828,4911
1013682,37.49642190516745,126.85026676122496,32072
1013683,37.4970466570464,126.84962296222574,33362
1013684,37.49692333831301,126.85031567108882,12406
1013685,37.49683570260589,126.85032608650656,3574
1013686,37.4978694209141,126.850656945769,9702
1013687,37.49822846087663,126.85003095654424,12111
1013688,37.49822225057323,126.85006445862396,26727
1013689,37.49832629141331,126.85087583406003,26051
1013690,37.49709512628083,126.84971833475824,37157
1013691,37.497647173012254,126.84914059956584,33757
1013692,37.49823579393262,126.84876979400542,11961
1013694,37.49769639670296,126.8492353565179,37129
1013695,37.49994293053005,126.8473226625054,10160
1013696,37.49995612205883,126.8474316629978,38386
1013697,37.50603850689577,126.84437031153176,45241
1013698,37.49745451521398,126.85654845517573,28937
1013699,37.498236214269774,126.85087212367796,26202
1013700,37.497416280094605,126.85649670996052,16823
1013701,37.49202008803209,126.85606171748483,17219
1013702,37.49736451060639,126.85655181680436,30712
1013703,37.49813803033659,126.86501642687868,30866
1013704,37.49786025279769,126.84726181787651,29361
1013705,37.49170785494943,126.8327607727076,30735
1013706,37.49156888433585,126.83259062412472,27782
1013707,37.49202903964123,126.85594916054376,20010
1013709,37.49778166325451,126.84730616326333,13483
1013710,37.49831499349122,126.8509107790232,8583
1013711,37.49812424904045,126.86510837617622,17015
1013712,37.50426588778951,126.8615284602588,16333
1013722,37.49623839610293,126.87141172714524,48038
1013723,37.50116852592401,126.87273021093404,51311
1013724,37.5020068573644,126.87272303571334,46780
1013727,37.49954961773811,126.86867312956522,34198
1013728,37.499572239752375,126.86897744608498,39672
1013729,37.49948545396174,126.86894693710347,34951
1013730,37.49902082582904,126.87144152860743,40626
1013731,37.4995134030579,126.86901454792974,5358
1013772,37.49789763127385,126.85076395892372,4284
1013773,37.49858649832374,126.85042633483532,10090
1013776,37.49367483006004,126.8559698219792,10888
1013793,37.49165527886917,126.83255853133788,23887
1013794,37.49394500414349,126.87180022967566,50664
1013795,37.49757515133294,126.8679650453904,30314
1013796,37.49723295072573,126.8680339919214,31139
1013797,37.49755624578752,126.86807548060564,33266
1013798,37.50201984400815,126.86981565017167,30752
1013820,37.49058130203817,126.83343123442437,16422
1013888,37.49863473480666,126.84768589530198,10077
1013909,37.491590593321455,126.83252315271469,7134
1013917,37.49890355812737,126.87162920229088,31767
1013918,37.49897708403035,126.87203222093238,31305
1013919,37.498992945839625,126.8716419664723,33330
1013920,37.49893318485738,126.8714158474071,33400
1013924,37.48520504591455,126.87320390449308,16727
1013946,37.49451142498536,126.87143448314782,46827
1013948,37.49229099704736,126.87253007726842,2931
1013949,37.49193629596166,126.8737372345756,20331
1013950,37.50370588401476,126.87040942673916,9052
1013957,37.50199143508628,126.8699230155921,29624
1013958,37.50369231915073,126.87040200427464,24214
1013959,37.49769724722502,126.84914208064352,5871
1013960,37.48865776818774,126.83600395010856,19251
1013961,37.48666758240029,126.83889167112346,17077
1013962,37.488736227296585,126.83605950553408,23868
1013963,37.49055741658798,126.8333262047427,17948
1013964,37.48341078818793,126.84166925249478,21354
1013965,37.48338226994514,126.84157678976948,9171
1013966,37.479244089281615,126.8429452110289,9315
1013967,37.49322104671327,126.86276431778565,36015
1013968,37.49426340466273,126.85286634959888,35130
1014014,37.5657420605479,126.8059480556803,37327
1014019,37.57341113064726,126.8167841259892,15295
1014020,37.573369489898695,126.81672489763284,17814
1014021,37.567564556190405,126.8166821928022,18804
1014023,37.572098999994026,126.8421209393628,24673
1014024,37.57213708749653,126.84202008116044,25922
1014025,37.57101758953279,126.84188333075672,25969
1014027,37.57378829858691,126.84364932657388,1876
1014029,37.57103097705145,126.84177134937607,25883
1014030,37.56846203995406,126.84136100309988,26910
1014031,37.56676974955597,126.80297833156904,22756
1014032,37.564291392848574,126.7998875107482,6558
1014033,37.564265229792326,126.79985906289528,3294
1014034,37.56411220181652,126.80019005690087,11354
1014036,37.5633037127298,126.80676733397613,40179
1014038,37.55974881366185,126.80791990287362,26925
1014041,37.55413608904272,126.81380304923267,34919
1014043,37.56532413841951,126.80552651350854,6696
1014044,37.56531847359227,126.80552655678426,5607
1014046,37.55651977354402,126.85117752404932,30728
1014047,37.55864270492705,126.83833655865642,18965
1014048,37.56847763322653,126.8412494857751,21469
1014049,37.55846935637393,126.8381609593672,21705
1014050,37.5548352789,126.83712826244783,20490
1014055,37.56360993396232,126.8565188893371,22434
1014058,37.552055050880334,126.81653042711804,15721
1014059,37.55163675458618,126.81670102151682,29154
1014060,37.55209563548848,126.81662117319732,17761
1014061,37.55558299868391,126.85384937665664,8986
1014064,37.556941921261824,126.85288414421125,8233
1014071,37.555603079108224,126.85216092511732,28270
1014072,37.55472632213776,126.85176162580925,26062
1014073,37.55623893283601,126.85197126626451,30991
1014076,37.55604709004026,126.8524893897411,31186
1014077,37.556220647456975,126.85199703310305,1958
1014079,37.55631386458829,126.85256424832716,29585
1014080,37.555988987263326,126.8525178183122,30392
1014082,37.55471156456915,126.85174747206514,15198
1014083,37.554766120605365,126.85166005756354,30477
1014094,37.54162743689656,126.84045220922869,28631
1014095,37.54652062445094,126.84528271720812,28083
1014114,37.53937997448735,126.82591125554954,21617
1014145,37.52693211863029,126.83396340021956,33730
1014147,37.52696153156173,126.83395983746075,16975
1014150,37.52499093610551,126.83511419221738,32674
1014155,37.529093235793056,126.8482130463009,10116
1014156,37.52906570175672,126.84821569224955,22666
1014157,37.52665758247849,126.8496235461812,22815
1014158,37.529099738725584,126.84832048647964,17781
1014159,37.5294135726931,126.84803247094284,22193
1014160,37.52844127049551,126.84834957363408,8592
1014161,37.52842341061428,126.84835690536406,14689
1014162,37.52664221463123,126.8496284442116,5694
1014163,37.52662143330223,126.84951988644922,23076
1014164,37.5211444444489,126.85256624025054,21649
1014165,37.52848133862955,126.84885285057942,10251
1014166,37.52805596138231,126.84837762084427,33872
1014167,37.52767120650537,126.8485831043974,3628
1014168,37.52764016075688,126.84854109442628,28321
1014169,37.52760304048474,126.84830160169304,31029
1014170,37.52760249049032,126.84828450539308,8935
1014171,37.52110764972495,126.85246319537086,21557
1014172,37.52403603276508,126.85086482739864,22572
1014173,37.526122375447166,126.8643661266638,28413
1014174,37.52610900914101,126.86425482727996,24117
1014175,37.52254712268637,126.86551379608228,25405
1014176,37.50982128420745,126.87245328261524,33744
1014177,37.52257930347284,126.86545309021425,22124
1014178,37.52107832758011,126.85251667410478,23225
1014179,37.53001409567758,126.86396087860122,33850
1014180,37.52961805894019,126.86394239323992,25293
1014216,37.50768918124744,126.8718508644562,28671
1014217,37.51143395190285,126.87384129182152,27997
1014218,37.50771220223859,126.87174147788166,23604
1014219,37.50669247961719,126.87151076521218,31941
1014239,37.5811680289337,126.79844322499878,23489
1014248,37.55795123085287,126.80678812483713,18919
1014252,37.52944883093056,126.84813662707458,23944
1014272,37.56168815703594,126.80805270369704,26452
1014273,37.56169964349114,126.80728922108472,28061
1014274,37.50960953451486,126.87265481123448,29692
1014275,37.50976715383362,126.87236281534048,26355
1014276,37.5095645683899,126.8726617356918,13702
1014277,37.50955497877612,126.87256474646216,26577
1014278,37.50746238329755,126.8746644734874,33764
1014282,37.567729074607286,126.8050383743148,10227
1014283,37.567879401201374,126.80535023110858,7664
1014289,37.56172870648251,126.80698905996157,25397
1014290,37.56178858195415,126.807307096015,21486
1014293,37.56761012468826,126.81662541228596,10205
1014295,37.57293561766448,126.80242451135678,16721
1014296,37.57296162206109,126.80258262342892,13660
1014298,37.52739950032462,126.8494341345302,2604
1014299,37.52737259336881,126.84943898643964,5632
1014300,37.50981057476642,126.8723551022884,13411
1014301,37.52807386870647,126.84862026547968,2543
