LINK_ID,도로등급,도로명,시도,구군,연장km,차선수,승용_전일,승용_7_9,승용_18_20,승용_8,승용_9,승용_19,승용_20,버스_전일,버스_7_9,버스_18_20,버스_8,버스_9,버스_19,버스_20,화물_전일,화물_7_9,화물_18_20,화물_8,화물_9,화물_19,화물_20,합계_전일,합계_7_9,합계_18_20,합계_8,합계_9,합계_19,합계_20
1013724,일반국도,서부간선도로,서울특별시,구로구,0.6540,2,46780,6499,6618,2171,2069,2306,2072,39901,5285,5689,1731,1698,1904,1906,288,88,34,42,14,12,10,6591,1128,895,399,357,390,156
1013727,일반국도,경인로,서울특별시,구로구,0.0250,10,34198,5960,6070,2138,2087,2202,1587,28818,4994,5345,1842,1767,1952,1386,2089,351,343,117,104,112,106,3291,615,384,180,216,138,96
1013728,일반국도,경인로,서울특별시,구로구,0.0250,10,39672,6016,6321,2046,2103,2026,2235,33288,5020,5517,1723,1783,1768,1996,2147,354,341,117,116,112,127,4237,643,462,207,204,146,111
1013729,일반국도,경인로,서울특별시,구로구,0.2260,10,34951,5986,6112,2010,2091,2197,1855,29164,4964,5262,1668,1770,1889,1628,2048,390,310,130,120,106,101,3739,632,541,212,201,202,127
1013730,일반국도,경인로,서울특별시,구로구,0.2260,10,40626,5919,7413,2068,2036,2487,2359,34421,4863,6588,1708,1673,2224,2111,2017,322,339,115,102,110,128,4188,733,485,245,261,152,120
1013793,일반국도,경인로,서울특별시,구로구,1.3580,6,23887,4001,4606,1390,1624,1649,1418,20636,3461,4138,1206,1426,1503,1289,944,155,160,54,51,52,57,2306,383,307,129,147,93,72
1013794,일반국도,서부간선도로,서울특별시,구로구,0.2580,2,50664,6290,6409,1998,2264,2168,2197,44574,5355,5779,1691,1958,1950,2012,224,31,76,14,10,26,33,5866,902,552,292,296,191,151
1013917,일반국도,경인로,서울특별시,구로구,0.0350,8,31767,6178,5384,2141,2219,1903,1610,27060,5344,4720,1859,1951,1662,1426,2123,346,341,119,104,112,114,2583,486,323,162,164,129,70
1013918,일반국도,경인로,서울특별시,구로구,0.0350,8,31305,5518,5630,2139,1940,1803,2000,25249,4461,4852,1806,1601,1545,1731,2158,337,331,114,112,109,124,3899,720,447,219,227,149,145
1013919,일반국도,경인로,서울특별시,구로구,0.0190,10,33330,6323,5836,2245,2517,1962,1993,27772,5344,5081,1923,2198,1722,1753,2142,353,344,121,115,113,130,3416,626,411,201,204,127,110
1013920,일반국도,경인로,서울특별시,구로구,0.0190,10,33400,6331,5975,2166,2219,2080,1843,27939,5352,5251,1821,1918,1853,1618,2186,385,339,129,120,113,118,3275,596,385,217,182,114,107
1013946,일반국도,서부간선도로,서울특별시,구로구,0.7920,2,46827,7040,6840,2476,2419,2298,2342,40563,6163,5923,2182,2091,1886,2110,261,59,35,16,15,12,9,6002,817,880,278,312,399,222
1014014,일반국도,개화동로,서울특별시,강서구,0.5000,2,37327,6307,6513,2167,1970,2285,2057,33217,5368,6001,1848,1679,2127,1917,501,118,71,40,21,23,29,3609,820,441,278,270,135,111
1014036,일반국도,개화동로,서울특별시,강서구,0.2800,4,40179,7165,5742,2498,2365,1684,1966,34032,6042,5014,2088,2027,1477,1743,1078,194,237,72,74,92,42,5069,929,491,338,264,115,181
1014046,일반국도,공항대로,서울특별시,강서구,1.1720,4,30728,5312,5614,1915,1997,1992,1673,26740,4552,5066,1634,1780,1797,1511,1033,208,178,91,61,70,43,2955,552,373,190,156,126,120
1014051,도시고속도로,올림픽대로,서울특별시,강서구,0.8000,4,82992,14721,12806,4568,4641,4373,3933,70855,12911,11050,4076,4007,3791,3242,1333,240,232,85,82,80,88,10804,1568,1523,407,551,502,602
1014053,도시고속도로,올림픽대로,서울특별시,강서구,1.0460,4,83641,12951,13886,4469,4171,4838,4380,71078,10632,12358,3715,3477,4335,3881,1310,259,225,94,91,70,76,11253,2059,1302,659,603,432,423
1014058,일반국도,방화대로,서울특별시,강서구,0.0480,8,15721,2674,3694,944,1102,1370,978,13094,2197,3328,755,959,1250,893,220,30,62,17,7,35,13,2407,447,305,172,136,86,72
1014059,일반국도,방화대로,서울특별시,강서구,0.0480,8,29154,6212,5273,2401,2290,1895,1521,25117,5392,4821,2118,1985,1740,1393,747,140,122,61,40,50,22,3290,680,331,223,264,105,106
1014073,일반국도,공항대로,서울특별시,강서구,0.0770,4,30991,5496,5286,2066,2191,1977,1386,27804,4888,4858,1804,2003,1826,1279,833,183,133,93,53,46,34,2354,425,294,169,135,105,73
1014076,일반국도,공항대로,서울특별시,강서구,0.0500,4,31186,7125,5164,3328,2510,1753,1652,28092,6478,4762,3067,2313,1627,1546,858,198,151,92,68,44,41,2237,451,251,170,130,83,65
1014239,일반국도,김포대로,서울특별시,강서구,0.6150,4,23489,3835,4513,1327,1435,1576,1418,20008,3180,3951,1098,1211,1401,1261,559,97,88,34,31,31,29,2922,559,472,196,193,144,127
1014272,일반국도,공항대로,서울특별시,강서구,0.0670,8,26452,5004,4623,1998,1644,1481,1710,23604,4470,4248,1807,1477,1355,1606,1169,203,181,83,58,64,59,1679,331,194,108,109,62,45
1014273,일반국도,공항대로,서울특별시,강서구,0.0670,8,28061,5827,4763,2361,2316,1506,1691,24926,5264,4303,2149,2140,1354,1549,1350,268,219,115,73,76,70,1785,294,242,97,103,77,72
1014289,일반국도,공항대로,서울특별시,강서구,0.0270,8,25397,4395,4944,1589,1781,1579,1595,22165,3814,4461,1388,1581,1461,1368,1118,192,182,62,63,61,59,2115,388,301,138,137,57,168
1014290,일반국도,공항대로,서울특별시,강서구,0.0270,8,21486,4352,4632,1570,1518,1738,1089,18127,3762,4010,1339,1297,1524,829,1033,186,178,71,57,68,47,2326,403,444,159,163,146,213
1014295,일반국도,인천국제공항고속도로,서울특별시,강서구,0.0100,5,16721,3518,3519,1260,1261,1176,1145,14548,3102,3236,1101,1146,1078,1072,275,56,62,33,16,30,7,1898,360,218,126,99,67,65
1014296,일반국도,인천국제공항고속도로,서울특별시,강서구,0.0100,5,13660,3015,2061,1171,1026,683,734,10791,2340,1732,891,793,539,642,482,179,68,105,45,29,16,2386,497,260,176,188,115,76
1014376,도시고속도로,올림픽대로,서울특별시,강서구,0.1580,4,84605,14774,12336,4753,4718,4242,3752,71952,12878,10653,4123,4089,3634,3263,1553,261,212,76,73,70,74,11101,1636,1470,555,555,538,415
1014388,도시고속도로,올림픽대로,서울특별시,강서구,0.7350,4,101389,15981,16442,5787,5033,5621,5287,86585,13342,14841,4893,4275,5129,4745,1530,268,258,98,90,75,92,13274,2371,1343,796,668,417,450
1014392,도시고속도로,강변북로,서울특별시,마포구,1.9160,5,114251,18052,16945,5777,5792,5823,5465,100245,16015,15185,5123,5092,5197,4899,1508,275,259,98,79,93,84,12498,1764,1500,557,621,532,482
1014398,도시고속도로,강변북로,서울특별시,마포구,0.4010,5,106351,17185,17744,5863,5830,5942,5906,94229,15059,16119,5156,5245,5294,5416,1393,263,220,100,88,72,84,10728,1861,1406,606,496,576,407
1014519,일반국도,인천국제공항고속도로,서울특별시,강서구,0.0900,5,13116,2905,2124,949,1070,754,631,10759,2456,1776,788,927,619,530,355,83,54,35,27,12,20,2002,367,294,127,117,123,82
1014520,일반국도,인천국제공항고속도로,서울특별시,강서구,0.0900,5,14853,3306,3051,1299,1311,1149,724,12724,2874,2791,1141,1168,1053,662,438,88,82,35,32,37,14,1691,344,180,123,111,59,49
1014574,일반국도,벌말로,서울특별시,강서구,0.2940,4,24699,4971,4182,1746,1703,1403,1285,21747,4359,3782,1553,1524,1277,1204,374,63,59,31,20,18,19,2578,548,341,162,159,107,63
1014577,도시고속도로,올림픽대로,서울특별시,강서구,0.1770,3,63544,11165,8924,3595,3616,2951,2708,54983,9909,7817,3262,3132,2618,2274,1178,192,187,63,70,70,50,7383,1064,920,270,415,263,384
1014793,일반국도,개화동로,서울특별시,강서구,0.2590,3,39594,5864,8389,1937,2145,2944,2154,35145,5051,7725,1674,1841,2706,2006,379,93,56,40,21,21,17,4069,721,608,224,283,217,131
1014860,도시고속도로,김포한강로,서울특별시,강서구,0.2740,2,39832,6194,6611,2157,1891,2174,2289,33641,5070,5966,1755,1601,1989,2067,768,156,122,48,72,38,44,5423,969,522,355,218,147,177
1014920,일반국도,개화동로,서울특별시,강서구,0.3060,3,25750,4858,5749,1484,1814,2189,1401,22177,4216,5137,1265,1608,1967,1236,370,64,82,22,20,45,20,3203,578,529,197,186,177,145
1015081,도시고속도로,김포한강로,서울특별시,강서구,0.2050,3,53336,8354,8862,2815,2611,3026,2942,45368,6953,7969,2328,2244,2747,2690,813,152,129,59,57,41,52,7155,1249,764,428,310,238,200
1015095,도시고속도로,김포한강로,서울특별시,강서구,1.3600,3,43840,6851,7878,2399,2125,2836,2546,38728,5924,7132,2092,1840,2544,2344,717,134,123,40,57,41,42,4396,793,623,268,227,251,160
1015098,도시고속도로,김포한강로,서울특별시,강서구,0.2900,2,34266,6048,4877,1827,1795,1731,1394,30028,5309,4124,1663,1586,1460,1181,583,111,91,32,39,28,28,3656,628,663,132,170,243,186
1015099,도시고속도로,김포한강로,서울특별시,강서구,0.6900,2,41250,7128,6097,2549,2186,2219,1765,34102,6180,5148,2225,1896,1862,1521,711,106,119,31,29,37,40,6437,844,829,294,262,320,204
1015100,일반국도,개화동로,서울특별시,강서구,0.1950,3,33753,6043,6181,2006,2437,2255,1641,28978,5121,5519,1643,2127,2035,1461,492,122,88,40,42,48,23,4283,798,574,322,268,172,157
